Priority;Period;Deadline;ID;Work;Deadline Miss;Executions;Preemptions
0;10584;10584;0;106;0;90000;0
0;11340;11340;0;441;0;84000;0
0;12150;12150;0;250;0;78400;0
0;14112;14112;0;1154;0;67500;11030
0;21168;21168;0;656;0;45000;1147
0;26250;26250;0;1;0;36288;37
0;36288;36288;0;1603;0;26250;7824
0;39375;39375;0;5944;0;24192;44416
0;52500;52500;0;1034;0;18144;5855
0;77760;77760;0;2351;0;12250;8910
0;189000;189000;0;9710;0;5040;20872
0;217728;217728;0;6051;0;4375;11408
0;220500;220500;0;120;0;4320;96
0;226800;226800;0;269;0;4200;357
0;238140;238140;0;5693;0;4000;8567
0;252000;252000;0;2981;0;3780;4738
0;264600;264600;0;19151;0;3600;30556
0;282240;282240;0;8584;0;3375;12689
0;330750;330750;0;4515;0;2880;5446
0;352800;352800;0;3336;0;2700;4113
0;423360;423360;0;694;0;2250;750
0;441000;441000;0;20527;0;2160;20641
0;486000;486000;0;12108;0;1960;11115
0;490000;490000;0;28848;0;1944;26865
0;496125;496125;0;17297;0;1920;15715
0;504000;504000;0;12291;0;1890;10972
0;540000;540000;0;149;0;1764;110
0;567000;567000;0;3591;0;1680;2878
0;630000;630000;0;4999;0;1512;3600
0;661500;661500;0;62169;0;1440;43226
hyperperiod;952560000
