Priority;Period;Deadline;ID;Work;Deadline Miss;Executions;Preemptions
0;11340;11340;0;583;0;84000;0
0;16000;16000;0;592;0;59535;0
0;17280;17280;0;103;0;55125;0
0;26250;26250;0;500;0;36288;714
0;31500;31500;0;1108;0;30240;6804
0;39375;39375;0;2008;0;24192;9156
0;45000;45000;0;440;0;21168;525
0;52500;52500;0;854;0;18144;3434
0;61250;61250;0;259;0;15552;45
0;70875;70875;0;3601;0;13440;12998
0;189000;189000;0;4297;0;5040;6650
0;201600;201600;0;1028;0;4725;720
0;202500;202500;0;10082;0;4704;15576
0;211680;211680;0;5631;0;4500;7749
0;217728;217728;0;8027;0;4375;12103
0;254016;254016;0;3865;0;3750;5115
0;282240;282240;0;5203;0;3375;6173
0;294000;294000;0;3395;0;3240;3593
0;317520;317520;0;3332;0;3000;3393
0;330750;330750;0;7966;0;2880;8202
0;423360;423360;0;14611;0;2250;12369
0;425250;425250;0;17434;0;2240;14860
0;441000;441000;0;94860;0;2160;78734
0;476280;476280;0;14147;0;2000;10892
0;504000;504000;0;3561;0;1890;2616
0;508032;508032;0;22192;0;1875;16257
0;551250;551250;0;29134;0;1728;19273
0;560000;560000;0;9237;0;1701;6192
0;588000;588000;0;13443;0;1620;8297
0;595350;595350;0;4280;0;1600;2684
hyperperiod;952560000
