Priority;Period;Deadline;ID;Work;Deadline Miss;Executions;Preemptions
0;10000;10000;0;700;0;95256;0
0;10584;10584;0;1254;0;90000;0
0;12150;12150;0;285;0;78400;744
0;16000;16000;0;53;0;59535;0
0;18375;18375;0;199;0;51840;94
0;26250;26250;0;17;0;36288;1
0;33750;33750;0;969;0;28224;3845
0;39375;39375;0;232;0;24192;244
0;48000;48000;0;2492;0;19845;16151
0;55125;55125;0;153;0;17280;454
0;194400;194400;0;1262;0;4900;1735
0;201600;201600;0;1956;0;4725;3237
0;202500;202500;0;1547;0;4704;2105
0;212625;212625;0;12206;0;4480;24882
0;236250;236250;0;21026;0;4032;38846
0;240000;240000;0;8044;0;3969;14703
0;264600;264600;0;2142;0;3600;3389
0;280000;280000;0;17313;0;3402;28004
0;303750;303750;0;12393;0;3136;18262
0;330750;330750;0;22620;0;2880;32074
0;453600;453600;0;8136;0;2100;8448
0;472500;472500;0;18645;0;2016;18743
0;476280;476280;0;3380;0;2000;3357
0;504000;504000;0;17072;0;1890;16338
0;529200;529200;0;41;0;1800;41
0;544320;544320;0;31506;0;1750;28027
0;567000;567000;0;2003;0;1680;1780
0;604800;604800;0;22649;0;1575;18002
0;630000;630000;0;36744;0;1512;28742
0;635040;635040;0;9266;0;1500;7056
hyperperiod;952560000
