Priority;Period;Deadline;ID;Work;Deadline Miss;Executions;Preemptions
0;10584;10584;0;245;0;90000;0
0;11340;11340;0;260;0;84000;0
0;14112;14112;0;98;0;67500;0
0;18375;18375;0;803;0;51840;1032
0;22680;22680;0;1064;0;42000;7260
0;33750;33750;0;664;0;28224;676
0;39375;39375;0;1279;0;24192;6277
0;52500;52500;0;5528;0;18144;28066
0;59535;59535;0;1319;0;16000;4804
0;61250;61250;0;952;0;15552;1805
0;189000;189000;0;2448;0;5040;3518
0;201600;201600;0;8316;0;4725;15218
0;212625;212625;0;10439;0;4480;18048
0;217728;217728;0;3063;0;4375;5098
0;220500;220500;0;2725;0;4320;4248
0;252000;252000;0;361;0;3780;452
0;264600;264600;0;22835;0;3600;34199
0;280000;280000;0;5433;0;3402;7259
0;294000;294000;0;2302;0;3240;2939
0;317520;317520;0;2994;0;3000;3266
0;425250;425250;0;7496;0;2240;7225
0;441000;441000;0;30297;0;2160;28566
0;453600;453600;0;45;0;2100;46
0;472500;472500;0;20607;0;2016;19250
0;490000;490000;0;21023;0;1944;17907
0;551250;551250;0;57509;0;1728;44127
0;567000;567000;0;33299;0;1680;24614
0;607500;607500;0;7867;0;1568;5383
0;630000;630000;0;6326;0;1512;4191
0;680400;680400;0;12523;0;1400;7743
hyperperiod;952560000
