Priority;Period;Deadline;ID;Work;Deadline Miss;Executions;Preemptions
0;11340;11340;0;471;0;84000;0
0;13230;13230;0;1080;0;72000;1440
0;15120;15120;0;438;0;63000;8
0;21168;21168;0;1279;0;45000;3610
0;36288;36288;0;2949;0;26250;14028
0;42000;42000;0;5;0;22680;123
0;45000;45000;0;910;0;21168;1838
0;48000;48000;0;668;0;19845;953
0;52500;52500;0;145;0;18144;777
0;77760;77760;0;5886;0;12250;26122
0;190512;190512;0;4427;0;5000;7600
0;194400;194400;0;8490;0;4900;15841
0;211680;211680;0;12400;0;4500;22103
0;236250;236250;0;14128;0;4032;22562
0;238140;238140;0;1733;0;4000;2509
0;240000;240000;0;1258;0;3969;1819
0;264600;264600;0;981;0;3600;1190
0;280000;280000;0;23992;0;3402;33980
0;330750;330750;0;5682;0;2880;6536
0;340200;340200;0;3060;0;2800;3422
0;420000;420000;0;15539;0;2268;15194
0;423360;423360;0;13004;0;2250;13074
0;441000;441000;0;1356;0;2160;1224
0;470400;470400;0;19286;0;2025;16952
0;472500;472500;0;8558;0;2016;7315
0;508032;508032;0;13688;0;1875;11032
0;595350;595350;0;1379;0;1600;1003
0;630000;630000;0;5477;0;1512;3694
0;635040;635040;0;795;0;1500;508
0;648000;648000;0;53392;0;1470;34669
hyperperiod;952560000
