Priority;Period;Deadline;ID;Work;Deadline Miss;Executions;Preemptions
0;10000;10000;0;2;0;95256;0
0;14112;14112;0;239;0;67500;0
0;15120;15120;0;1220;0;63000;10584
0;16000;16000;0;378;0;59535;1
0;17280;17280;0;213;0;55125;18
0;21168;21168;0;1555;0;45000;11141
0;39375;39375;0;556;0;24192;612
0;42000;42000;0;104;0;22680;115
0;52500;52500;0;478;0;18144;1977
0;61250;61250;0;3162;0;15552;16677
0;194400;194400;0;4397;0;4900;8325
0;211680;211680;0;11980;0;4500;23856
0;212625;212625;0;21006;0;4480;40641
0;217728;217728;0;3632;0;4375;6281
0;220500;220500;0;3972;0;4320;6592
0;226800;226800;0;4349;0;4200;7544
0;272160;272160;0;6897;0;3500;10308
0;282240;282240;0;1493;0;3375;1724
0;302400;302400;0;16402;0;3150;23171
0;340200;340200;0;10793;0;2800;13702
0;486000;486000;0;7998;0;1960;7327
0;490000;490000;0;3309;0;1944;2996
0;508032;508032;0;27529;0;1875;24636
0;529200;529200;0;15448;0;1800;13328
0;540000;540000;0;9644;0;1764;8118
0;551250;551250;0;17936;0;1728;14757
0;567000;567000;0;20493;0;1680;16459
0;630000;630000;0;21007;0;1512;15410
0;648000;648000;0;22403;0;1470;15957
0;661500;661500;0;50146;0;1440;34595
hyperperiod;952560000
