ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads
1;10;18000;18000;46;0;56;0;0;0;56;0;0.0025555555555555557;0.0022333333333333333
2;9;28000;28000;613;0;36;0;0;0;36;0;0.021892857142857144;0.0014357142857142856
3;8;31000;31000;2646;0;33;6;0;0;33;6;0.08535483870967742;0.001296774193548387
4;7;42000;42000;2969;0;24;2;0;0;24;2;0.07069047619047619;0.0009571428571428571
5;6;49000;49000;2314;0;21;2;0;0;21;2;0.04722448979591837;0.0008204081632653061
6;5;52000;52000;777;0;20;0;0;0;20;0;0.014942307692307692;0.000773076923076923
7;4;57000;57000;2850;0;18;2;0;0;18;2;0.05;0.0007052631578947368
8;3;57000;57000;156;0;18;4;0;0;18;4;0.0027368421052631577;0.0007052631578947368
9;2;79000;79000;12171;0;13;29;0;0;13;29;0.1540632911392405;0.0005088607594936708
10;1;91000;91000;3689;0;11;5;0;0;11;5;0.04053846153846154;0.0004417582417582418
;;1000000;;;;;50;;;;50;0.4899991198697575;0.009877595073122478;0.49987671494288
;;;;;;;0.0;;;;;
