ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads
1;10;10000;10000;324;0;100;0;0;0;100;0;0.0324;0.004019999999999999
2;9;10000;10000;568;0;100;0;0;0;100;0;0.0568;0.004019999999999999
3;8;12000;12000;377;0;84;0;0;0;84;0;0.03141666666666667;0.0033499999999999997
4;7;23000;23000;3236;0;44;24;0;0;44;24;0.14069565217391306;0.0017478260869565217
5;6;37000;37000;7036;0;27;44;0;0;27;44;0.19016216216216217;0.0010864864864864863
6;5;49000;49000;4271;0;21;22;1;0;21;21;0.08716326530612245;0.0008204081632653061
7;4;55000;55000;92;0;19;1;0;0;19;1;0.0016727272727272728;0.0007309090909090909
8;3;58000;58000;198;0;18;0;0;0;18;0;0.003413793103448276;0.000693103448275862
9;2;60000;60000;5291;0;17;11;1;0;17;10;0.08818333333333334;0.00067
10;1;62000;62000;4;0;17;0;0;0;17;0;6.451612903225807e-05;0.0006483870967741935
;;1000000;;;;;102;;;;100;0.6319721161474054;0.017787120372667456;0.649759236520073
;;;;;;;0.0196078431372549;;;;;
