ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads
1;10;13000;13000;184;0;77;0;0;0;77;0;0.014153846153846154;0.003092307692307692
2;9;14000;14000;1459;0;72;5;5;0;72;0;0.10421428571428572;0.002871428571428571
3;8;14000;14000;1664;0;72;10;10;0;72;0;0.11885714285714286;0.002871428571428571
4;7;28000;28000;2764;0;36;5;0;0;36;5;0.09871428571428571;0.0014357142857142856
5;6;36000;36000;3335;0;28;10;0;0;28;10;0.0926388888888889;0.0011166666666666666
6;5;37000;37000;2826;0;27;10;0;0;27;10;0.07637837837837838;0.0010864864864864863
7;4;67000;67000;11017;0;15;39;0;0;15;39;0.16443283582089552;0.0006000000000000001
8;3;70000;70000;4737;0;15;14;1;0;15;13;0.06767142857142858;0.0005742857142857142
9;2;93000;93000;6084;0;11;22;1;0;11;21;0.06541935483870968;0.000432258064516129
10;1;97000;97000;8034;1;11;27;1;0;11;26;0.08282474226804123;0.00041443298969072163
;;1000000;;;;;142;;;;124;0.8853051892059027;0.014495009042524837;0.8998001982484276
;;;;;;;0.1267605633802817;;;;;
