ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads
1;12;21000;21000;1430;0;48;0;0;0;48;0;0.0680952380952381;0.0019142857142857143
2;11;26000;26000;193;0;39;0;0;0;39;0;0.007423076923076923;0.001546153846153846
3;10;36000;36000;552;0;28;0;0;0;28;0;0.015333333333333332;0.0011166666666666666
4;9;38000;38000;3049;0;27;7;3;0;27;4;0.08023684210526316;0.0010578947368421053
5;8;50000;50000;3401;0;20;7;3;0;20;4;0.06802;0.000804
6;7;57000;57000;14191;0;18;39;7;0;18;32;0.24896491228070175;0.0007052631578947368
7;6;63000;63000;3796;0;16;8;0;0;16;8;0.060253968253968254;0.0006380952380952382
8;5;66000;66000;576;0;16;0;0;0;15;0;0.008727272727272728;0.0006090909090909092
9;4;69000;69000;2279;0;15;2;-3;0;15;5;0.033028985507246374;0.0005826086956521739
10;3;79000;79000;67;0;13;0;0;0;13;0;0.0008481012658227848;0.0005088607594936708
11;2;96000;96000;27253;0;10;75;12;0;10;63;0.28388541666666667;0.00041874999999999996
12;1;100000;100000;1476;1;10;4;1;0;10;3;0.01476;0.000402
;;1000000;;;;;142;;;;119;0.88957714715859;0.01030366972417506;0.8998808168827651
;;;;;;;0.1619718309859155;;;;;
