ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;20;10000;10000;411;0;100;0;0;0;100;0;0.0411;0.0019660000000000003;;74837;74872;4536;25428;74866;74747;75729;3640;21982;75671
2;19;11000;11000;462;0;91;0;0;0;91;0;0.042;0.0017872727272727274;;84022;84151;4536;103076;84043;83965;84909;3640;99446;84768
3;18;12000;12000;338;0;84;0;0;0;84;0;0.028166666666666666;0.0016383333333333334;;61701;62785;4560;189444;61731;61644;62588;3641;185803;62299
4;17;20000;20000;408;0;50;2;0;0;50;2;0.0204;0.0009830000000000001;;74298;165935;83357;253421;78320;74241;165788;83157;249797;78287
5;16;21000;21000;1283;0;48;9;0;0;48;9;0.0610952380952381;0.0009361904761904763;;231937;392659;4536;330051;252142;231880;325936;3647;326444;249432
6;15;43000;43000;57;0;24;0;0;0;24;0;0.0013255813953488372;0.00045720930232558143;;11126;12211;4438;564493;11183;11069;12013;3647;1579153;11608
7;14;45000;45000;4154;0;23;21;-3;0;23;24;0.09231111111111111;0.0004368888888888889;;749071;1149958;4661;578063;852943;749015;1149780;3647;1233848;871316
8;13;46000;46000;175;0;22;0;0;0;22;0;0.0038043478260869567;0.0004273913043478261;;32359;32494;4669;1329630;32381;32302;33246;3652;1902709;32610
9;12;48000;48000;2734;0;21;20;3;0;21;17;0.05695833333333333;0.00040958333333333336;;493358;1411220;70199;1364545;648244;493186;913008;70016;1641505;600358
10;11;53000;53000;3863;0;19;24;1;0;19;23;0.07288679245283018;0.0003709433962264151;;696580;1846541;4543;1942664;941481;696523;1846512;3666;2277756;933892
11;10;59000;59000;276;0;17;1;0;0;17;1;0.004677966101694915;0.00033322033898305084;;50549;144066;4543;2802701;56510;50492;132632;3666;2798940;56032
12;9;61000;61000;7576;0;17;58;2;0;17;56;0.12419672131147541;0.00032229508196721313;;1526071;4489645;4543;2855974;2277330;1525823;3376743;3666;2852230;2204104
13;8;63000;63000;7248;0;16;48;4;0;16;44;0.11504761904761905;0.00031206349206349207;;1466962;3410434;240602;4784488;2040230;1477559;3077856;240420;4780301;1944345
14;7;64000;64000;3406;0;16;20;-3;0;16;23;0.05321875;0.0003071875;;614316;2865661;4668;6267400;1117302;615199;2811240;3670;6263032;1055651
15;6;66000;66000;1855;0;16;12;4;0;16;8;0.028106060606060607;0.0002978787878787879;;335023;2975099;159348;6953998;589913;334967;2974446;159024;6949546;536341
16;5;67000;67000;366;0;15;1;-2;0;15;3;0.005462686567164179;0.0002934328358208955;;66750;315643;4543;7453003;83374;66693;1046418;3666;7448395;153322
17;4;74000;74000;6519;1;14;52;14;0;14;38;0.0880945945945946;0.00026567567567567567;;1352917;10457003;4543;7522757;3809685;1352836;4814806;3666;7518166;2263351
18;3;86000;86000;682;1;12;5;0;0;12;5;0.007930232558139535;0.00022860465116279072;;123632;5941119;20386;20504234;797932;123575;3610858;294299;9192612;457758
19;2;94000;94000;326;1;11;1;-1;0;11;2;0.003468085106382979;0.00020914893617021279;;59463;166680;4543;20757779;69290;59485;166441;3666;10218749;73044
20;1;99000;99000;3081;1;10;17;-2;0;10;19;0.031121212121212122;0.0001985858585858586;;555818;9866840;1272222;20880436;4049143;555762;7411166;1271583;10782818;3460726
;;1000000;;;;;291;;;;274;0.8813719988949584;0.012180905920226557;0.893552904815185
;;;;;;;0.058419243986254296;;;;;
