ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads
1;10;11000;11000;368;0;91;0;0;0;91;0;0.03345454545454545;0.0036545454545454546
2;9;17000;17000;2162;0;59;10;0;0;59;10;0.1271764705882353;0.002364705882352941
3;8;21000;21000;1744;0;48;8;0;0;48;8;0.08304761904761905;0.0019142857142857143
4;7;30000;30000;1881;0;34;6;0;0;34;6;0.0627;0.00134
5;6;47000;47000;6631;0;22;32;-2;0;22;34;0.14108510638297872;0.0008553191489361703
6;5;56000;56000;2804;0;18;11;-3;0;18;14;0.05007142857142857;0.0007178571428571428
7;4;60000;60000;382;0;17;1;-1;0;17;2;0.006366666666666666;0.00067
8;3;72000;72000;13179;0;14;59;1;0;14;58;0.18304166666666666;0.0005583333333333333
9;2;74000;74000;11289;0;14;53;11;0;14;42;0.15255405405405406;0.0005432432432432432
10;1;93000;93000;4398;1;11;12;0;0;11;12;0.04729032258064516;0.000432258064516129
;;1000000;;;;;192;;;;186;0.8867878800128397;0.01305054798407013;0.8998384279969098
;;;;;;;0.03125;;;;;
