ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads
1;10;10000;10000;113;0;100;0;0;0;100;0;0.0113;0.004019999999999999
2;9;19000;19000;608;0;53;0;0;0;53;0;0.032;0.0021157894736842106
3;8;20000;20000;2429;0;50;4;4;0;50;0;0.12145;0.0020099999999999996
4;7;43000;43000;3129;0;24;10;4;0;24;6;0.07276744186046512;0.0009348837209302325
5;6;57000;57000;10895;0;18;28;-8;0;18;36;0.19114035087719297;0.0007052631578947368
6;5;57000;57000;9196;0;18;36;9;0;18;27;0.16133333333333333;0.0007052631578947368
7;4;58000;58000;6643;0;17;15;2;0;17;13;0.11453448275862069;0.000693103448275862
8;3;65000;65000;6677;0;15;25;3;0;15;22;0.10272307692307692;0.0006184615384615384
9;2;73000;73000;3356;0;14;12;0;0;14;12;0.045972602739726025;0.0005506849315068494
10;1;95000;95000;3211;0;11;8;0;0;11;8;0.0338;0.0004231578947368421
;;1000000;;;;;138;;;;124;0.8870212884924151;0.012776607323385009;0.8997978958158002
;;;;;;;0.10144927536231885;;;;;
