ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads
1;10;15000;15000;771;0;67;0;0;0;67;0;0.0514;0.00268
2;9;20000;20000;1510;0;50;0;0;0;50;0;0.0755;0.0020099999999999996
3;8;26000;26000;2702;0;39;9;0;0;39;9;0.10392307692307692;0.001546153846153846
4;7;31000;31000;604;0;33;0;0;0;33;0;0.019483870967741936;0.001296774193548387
5;6;64000;64000;5283;0;16;12;-1;0;16;13;0.082546875;0.000628125
6;5;66000;66000;1375;0;16;1;0;0;16;1;0.020833333333333332;0.0006090909090909092
7;4;81000;81000;10149;0;13;22;-6;0;13;28;0.1252962962962963;0.0004962962962962963
8;3;87000;87000;2830;0;12;6;0;0;12;6;0.032528735632183906;0.00046206896551724135
9;2;93000;93000;21879;0;11;56;8;0;11;48;0.23525806451612905;0.000432258064516129
10;1;97000;97000;13833;1;10;49;13;0;10;36;0.1426082474226804;0.00041443298969072163
;;1000000;;;;;155;;;;141;0.8893785000914419;0.010575200264813532;0.8999537003562554
;;;;;;;0.09032258064516129;;;;;
