ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads
1;18;11000;11000;708;0;91;0;0;0;91;0;0.06436363636363636;0.0036545454545454546
2;17;13000;13000;1003;0;77;7;0;0;77;7;0.07715384615384616;0.003092307692307692
3;16;18000;18000;1091;0;56;10;0;0;56;10;0.06061111111111111;0.0022333333333333333
4;15;20000;20000;581;0;50;1;0;0;50;1;0.02905;0.0020099999999999996
5;14;21000;21000;698;0;48;1;0;0;48;1;0.03323809523809524;0.0019142857142857143
6;13;25000;25000;788;0;40;2;0;0;40;2;0.03152;0.001608
7;12;35000;35000;2508;0;29;19;-1;0;29;20;0.07165714285714286;0.0011485714285714285
8;11;39000;39000;603;0;26;3;1;0;26;2;0.015461538461538462;0.0010307692307692307
9;10;42000;42000;5875;0;24;47;0;0;24;47;0.13988095238095238;0.0009571428571428571
10;9;49000;49000;1342;0;21;7;0;0;21;7;0.027387755102040817;0.0008204081632653061
11;8;50000;50000;3681;0;20;23;1;0;20;22;0.07362;0.000804
12;7;56000;56000;379;0;18;1;-1;0;18;2;0.006767857142857143;0.0007178571428571428
13;6;62000;62000;4021;0;17;32;-3;0;17;35;0.06485483870967743;0.0006483870967741935
14;5;64000;64000;1464;0;16;5;1;0;16;4;0.022875;0.000628125
15;4;68000;68000;5415;0;15;44;10;0;15;34;0.07963235294117647;0.0005911764705882353
16;3;79000;79000;3587;1;13;33;7;0;13;26;0.04540506329113924;0.0005088607594936708
17;2;84000;84000;968;1;12;4;-1;0;12;5;0.011523809523809523;0.00047857142857142857
18;1;96000;96000;2071;1;11;15;0;0;11;15;0.021572916666666667;0.00041874999999999996
;;1000000;;;;;254;;;;240;0.8765759159436899;0.023265091772505683;0.8998410077161956
;;;;;;;0.05511811023622047;;;;;
