ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads
1;14;25000;25000;159;0;40;0;0;0;40;0;0.00636;0.001608
2;13;28000;28000;6666;0;36;8;5;0;36;3;0.23807142857142857;0.0014357142857142856
3;12;38000;38000;1616;0;27;1;0;0;27;1;0.04252631578947368;0.0010578947368421053
4;11;41000;41000;1073;0;25;3;1;0;25;2;0.026170731707317072;0.0009804878048780487
5;10;44000;44000;456;0;23;0;0;0;23;0;0.010363636363636363;0.0009136363636363636
6;9;49000;49000;4306;0;21;13;4;0;21;9;0.08787755102040816;0.0008204081632653061
7;8;56000;56000;5608;0;18;17;2;0;18;15;0.10014285714285714;0.0007178571428571428
8;7;61000;61000;707;0;17;0;0;0;17;0;0.01159016393442623;0.000659016393442623
9;6;65000;65000;2488;0;16;6;-1;0;16;7;0.038276923076923076;0.0006184615384615384
10;5;79000;79000;531;0;13;1;1;0;13;0;0.006721518987341772;0.0005088607594936708
11;4;88000;88000;13320;0;12;39;6;0;12;33;0.15136363636363637;0.0004568181818181818
12;3;92000;92000;8021;0;11;21;2;0;11;19;0.08718478260869565;0.0004369565217391304
13;2;93000;93000;4549;0;11;19;5;0;11;14;0.04891397849462366;0.000432258064516129
14;1;100000;100000;3323;1;10;6;4;0;10;2;0.03323;0.000402
;;1000000;;;;;134;;;;105;0.8887935240607677;0.011048369956664524;0.8998418940174322
;;;;;;;0.21641791044776118;;;;;
