ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Work Jitter;FPS Max Work Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Work Jitter;EDF Min Work Jitter;EDF Max Work Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Work Jitter
1;20;21000;21000;1746;0;36;0;0;0;36;0;0.08314285714285714;0.0019142857142857143;;314607;314617;177755;192650;314607;314608;314731;176456;576114;314637
2;19;21000;21000;473;0;36;0;0;0;36;0;0.022523809523809522;0.0019142857142857143;;85483;85489;500325;515160;85483;85350;85487;176456;798432;85414
3;18;21000;21000;1476;0;36;0;0;0;36;0;0.07028571428571428;0.0019142857142857143;;266024;266025;593803;608041;266024;266022;266144;175961;617738;266046
4;17;21000;21000;44;0;36;0;0;0;36;0;0.0020952380952380953;0.0019142857142857143;;8111;8111;867785;882037;8111;8119;8255;175961;883195;8119
5;16;42000;42000;2998;0;18;0;0;0;18;0;0.07138095238095238;0.0009571428571428571;;540192;540216;886682;898267;540207;540194;540217;885721;1760348;540211
6;15;42000;42000;1701;0;18;0;0;0;18;0;0.0405;0.0009571428571428571;;306517;306519;1435197;1446641;306518;306518;306521;1434309;1447956;306518
7;14;42000;42000;2999;0;18;0;0;0;18;0;0.0714047619047619;0.0009571428571428571;;540383;540385;1749865;1761320;540383;540383;540386;885729;1762704;540383
8;13;126000;126000;500;0;6;0;0;0;6;0;0.003968253968253968;0.0003190476190476191;;90329;90330;2303052;2309844;90329;90329;90332;2303201;6207241;90329
9;12;126000;126000;2080;0;6;0;0;0;6;0;0.01650793650793651;0.0003190476190476191;;374856;374858;2401695;2408483;374856;374857;374858;2401964;5824622;374857
10;11;126000;126000;5501;0;6;0;0;0;6;0;0.04365873015873016;0.0003190476190476191;;991099;991102;2784908;2791671;991099;991100;991103;2785238;4825780;991100
11;10;126000;126000;9972;0;6;6;0;0;6;6;0.07914285714285714;0.0003190476190476191;;2509571;2509695;3784343;3791100;2509608;2509645;2509849;2303683;3792760;2509699
12;9;378000;378000;4525;0;2;0;-1;0;2;1;0.01197089947089947;0.00010634920634920635;;815188;815190;6303126;6309078;815189;815189;1528635;14090853;34128145;1171912
13;8;378000;378000;2887;0;2;0;0;0;2;0;0.0076375661375661374;0.00010634920634920635;;520240;520240;7126187;7132840;520240;520238;520239;13562630;35665480;520238
14;7;378000;378000;13430;0;2;4;2;0;2;2;0.03552910052910053;0.00010634920634920635;;5260172;5260412;7654299;7661616;5260292;3132675;4547743;10421933;36194357;3840209
15;6;378000;378000;10991;0;2;0;-2;0;2;2;0.029076719576719576;0.00010634920634920635;;1979897;1979897;12922681;12930422;1979897;2693254;4108583;6305328;40750801;3400918
16;5;756000;756000;48412;0;1;5;1;0;1;4;0.06403703703703703;5.3174603174603176e-05;;20533800;20533800;14910451;14910451;20533800;19824126;19824126;82335957;82335957;19824126
17;4;756000;756000;29518;0;1;2;-1;0;1;3;0.03904497354497354;5.3174603174603176e-05;;8157970;8157970;35452534;35452534;8157970;14300060;14300060;68027854;68027854;14300060
18;3;756000;756000;97064;0;1;8;1;0;1;7;0.1283915343915344;5.3174603174603176e-05;;46885101;46885101;43618659;43618659;46885101;32142465;32142465;35877141;35877141;32142465
19;2;756000;756000;33006;0;1;3;0;0;1;3;0.04365873015873016;5.3174603174603176e-05;;14917768;14917768;90511735;90511735;14917768;14920982;14920982;20947889;20947889;14920982
20;1;756000;756000;17674;0;1;2;0;0;1;2;0.023378306878306877;5.3174603174603176e-05;;6024709;6024709;105437456;105437456;6024709;6025635;6025635;14914005;14914005;6025635
;;756000;;;;;30;;;;30;0.8873359788359787;0.012496031746031757;0.8998320105820105
;;;;;;;0.0;;;;;
