ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Work Jitter;FPS Max Work Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Work Jitter;EDF Min Work Jitter;EDF Max Work Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Work Jitter
1;20;24000;24000;220;0;25;0;0;0;25;0;0.009166666666666667;0.0016749999999999998;;39805;39805;181368;192650;39805;39807;39807;182399;2353112;39807
2;19;24000;24000;2782;0;25;0;0;0;25;0;0.11591666666666667;0.0016749999999999998;;501335;501340;229130;240326;501335;501335;501338;230236;1882797;501335
3;18;24000;24000;187;0;25;0;0;0;25;0;0.007791666666666666;0.0016749999999999998;;33849;33849;738500;748993;33849;33857;33857;739605;1840868;33857
4;17;24000;24000;1434;0;25;0;0;0;25;0;0.05975;0.0016749999999999998;;258458;258460;780321;790147;258458;258459;258580;781532;1574231;258486
5;16;24000;24000;4087;0;25;0;0;0;25;0;0.17029166666666667;0.0016749999999999998;;736339;736458;1046762;1055919;736339;736341;736461;781101;1227836;736345
6;15;24000;24000;675;0;25;0;0;0;25;0;0.028125;0.0016749999999999998;;121688;121829;1791121;1799706;121693;121696;121833;651192;1972386;121760
7;14;24000;24000;1192;0;25;0;0;0;25;0;0.049666666666666665;0.0016749999999999998;;214905;214906;1920965;1928722;214905;214905;214908;428231;2102158;214905
8;13;24000;24000;327;0;25;0;0;0;25;0;0.013625;0.0016749999999999998;;59201;59204;2143845;2150934;59202;59068;59205;361110;2325141;59116
9;12;24000;24000;949;0;25;0;0;0;25;0;0.03954166666666667;0.0016749999999999998;;171163;171165;2211023;2217615;171163;171163;171168;181910;2220072;171163
10;11;120000;120000;2039;0;5;0;0;0;5;0;0.016991666666666665;0.000335;;367478;367480;2395922;2396775;367478;367479;367481;2399092;3488515;367479
11;10;120000;120000;1439;0;5;0;0;0;5;0;0.011991666666666666;0.000335;;259359;259361;2771179;2772696;259359;259362;259479;2775100;3220528;259431
12;9;120000;120000;1258;0;5;0;0;0;5;0;0.010483333333333334;0.000335;;226888;226890;3038300;3040516;226888;226773;226892;2984781;3043193;226819
13;8;120000;120000;746;0;5;0;0;0;5;0;0.006216666666666666;0.000335;;134472;134472;3272985;3275846;134472;134614;134616;2841660;3278613;134615
14;7;120000;120000;2411;0;5;0;0;0;5;0;0.020091666666666667;0.000335;;434442;434443;3415357;3418911;434442;434442;434444;2398670;3421735;434442
15;6;600000;600000;38922;0;1;4;1;0;1;3;0.06487;6.7e-05;;15890352;15890352;3857579;3857579;15890352;13677794;13677794;71782061;71782061;13677794
16;5;600000;600000;48642;0;1;4;-1;0;1;5;0.08107;6.7e-05;;19111200;19111200;19756026;19756026;19111200;21345774;21345774;50428055;50428055;21345774
17;4;600000;600000;14307;0;1;2;0;0;1;2;0.023845;6.7e-05;;8486592;8486592;38875468;38875468;8486592;8494629;8494629;41925234;41925234;8494629
18;3;600000;600000;15407;0;1;2;0;0;1;2;0.025678333333333334;6.7e-05;;7214933;7214933;47370178;47370178;7214933;7219992;7219992;34697053;34697053;7219992
19;2;600000;600000;65161;0;1;6;0;0;1;6;0.10860166666666667;6.7e-05;;26525593;26525593;54593211;54593211;26525593;26544148;26544148;8144716;8144716;26544148
20;1;600000;600000;11387;0;1;1;0;0;1;1;0.018978333333333333;6.7e-05;;4270615;4270615;81126908;81126908;4270615;4274065;4274065;3862461;3862461;4274065
;;600000;;;;;19;;;;19;0.8826933333333332;0.017151999999999997;0.8998453333333332
;;;;;;;0.0;;;;;
