ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;20;18000;18000;130;0;48;0;0;0;48;0;0.007222222222222222;0.0010922222222222223;;24262;24297;7106;25428;24291;24172;25154;6225;407136;24655
2;19;18000;18000;1608;0;48;0;0;0;48;0;0.08933333333333333;0.0010922222222222223;;290428;290435;34280;52501;290428;290340;290498;34183;123183;290418
3;18;18000;18000;348;0;48;0;0;0;48;0;0.019333333333333334;0.0010922222222222223;;63636;63639;327611;345147;63636;63408;63583;29136;350233;63494
4;17;18000;18000;102;0;48;0;0;0;48;0;0.005666666666666667;0.0010922222222222223;;19218;19218;394145;411002;19218;19123;20105;6225;396483;19586
5;16;54000;54000;2713;0;16;0;0;0;16;0;0.05024074074074074;0.00036407407407407406;;489567;489571;418425;432439;489568;489511;489514;418352;1378017;489511
6;15;54000;54000;5225;0;16;0;0;0;16;0;0.09675925925925925;0.00036407407407407406;;941967;941972;911061;924396;941967;941911;941916;418466;911246;941912
7;14;216000;216000;16876;0;4;4;0;0;4;4;0.07812962962962963;9.101851851851852e-05;;3457122;3457256;1862406;1868749;3457160;3456505;3456781;2739092;15453317;3456647
8;13;216000;216000;32366;0;4;12;2;0;4;10;0.14984259259259258;9.101851851851852e-05;;8519024;8519200;5322723;5328685;8519078;8102582;8518437;6199123;7347479;8310564
9;12;216000;216000;4168;0;4;0;-2;0;4;2;0.019296296296296298;9.101851851851852e-05;;751704;751707;13844944;13850921;751705;751531;1167433;6175723;14726091;959477
10;11;216000;216000;18354;0;4;4;0;0;4;4;0.08497222222222223;9.101851851851852e-05;;3722712;3722753;14599829;14605828;3722726;3722689;3723230;2449919;15480436;3723019
11;10;216000;216000;3201;0;4;0;-2;0;4;2;0.014819444444444444;9.101851851851852e-05;;577523;577527;18325738;18331742;577524;577350;2433239;1869993;19206768;1505294
12;9;432000;432000;14572;0;2;4;1;0;2;3;0.03373148148148148;4.550925925925926e-05;;4897990;4898031;18909673;18912448;4898010;4488686;4897546;18913076;37127832;4693116
13;8;432000;432000;14799;0;2;2;0;0;2;2;0.034256944444444444;4.550925925925926e-05;;3082459;3082499;23810482;23813917;3082479;3082282;3082312;23814154;34042666;3082297
14;7;432000;432000;11462;0;2;0;-1;0;2;1;0.026532407407407407;4.550925925925926e-05;;2065336;2065337;26895759;26899854;2065336;2065281;2481679;26899965;31558133;2273480
15;6;432000;432000;44973;0;2;10;2;0;2;8;0.10410416666666666;4.550925925925926e-05;;31551875;31552015;28963874;28968669;31551945;12645050;12652451;18910229;28968776;12648750
16;5;864000;864000;26343;0;1;2;0;0;1;2;0.030489583333333334;2.275462962962963e-05;;5578357;5578357;60518387;60518387;5578357;5577879;5577879;70434658;70434658;5577879
17;4;864000;864000;14182;0;1;1;0;0;1;1;0.016414351851851854;2.275462962962963e-05;;4411127;4411127;66099746;66099746;4411127;4411142;4411142;66020438;66020438;4411142
18;3;864000;864000;3601;0;1;0;0;0;1;0;0.004167824074074074;2.275462962962963e-05;;649536;649536;70513875;70513875;649536;649365;649365;65367995;65367995;649365
19;2;864000;864000;17855;0;1;2;0;0;1;2;0.02066550925925926;2.275462962962963e-05;;4049450;4049450;71166413;71166413;4049450;4049072;4049072;61315845;61315845;4049072
20;1;864000;864000;4408;0;1;0;0;0;1;0;0.005101851851851852;2.275462962962963e-05;;794901;794901;75218865;75218865;794901;794728;794728;60518039;60518039;794728
;;864000;;;;;41;;;;41;0.8910798611111111;0.005847939814814815;0.8969278009259259
;;;;;;;0.0;;;;;
