ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;20;19000;19000;111;0;40;0;0;0;40;0;0.005842105263157895;0.0010347368421052632;;20845;20880;9728;25428;20874;20755;23271;9687;1085464;21007
2;19;19000;19000;1914;0;40;0;0;0;40;0;0.10073684210526315;0.0010347368421052632;;345626;345633;33486;49084;345626;345458;347960;9687;820005;345763
3;18;19000;19000;166;0;40;0;0;0;40;0;0.008736842105263157;0.0010347368421052632;;30744;30744;382016;396928;30744;30649;31631;9687;1168551;30798
4;17;19000;19000;384;0;40;0;0;0;40;0;0.020210526315789474;0.0010347368421052632;;69980;69980;415658;429891;69980;69885;70867;9687;1202191;70076
5;16;19000;19000;929;0;40;0;0;0;40;0;0.04889473684210526;0.0010347368421052632;;168220;168222;488537;502090;168220;168127;168974;10317;924733;168300
6;15;19000;19000;1845;0;40;0;0;0;40;0;0.09710526315789474;0.0010347368421052632;;333221;333223;659655;672528;333221;333108;334326;9687;938996;333365
7;14;19000;19000;524;0;40;0;0;0;40;0;0.027578947368421054;0.0010347368421052632;;95324;95326;995775;1007968;95324;95096;96078;9687;997659;95353
8;13;76000;76000;672;0;10;0;0;0;10;0;0.008842105263157894;0.0002586842105263158;;121830;121830;1094744;1106018;121830;121773;121773;1095583;1110447;121773
9;12;380000;380000;9712;0;2;0;-2;0;2;2;0.025557894736842106;5.173684210526316e-05;;1750209;1750210;1229894;1231088;1750209;2844811;2970633;13190656;33125153;2907722
10;11;380000;380000;8260;0;2;2;0;0;2;2;0.02173684210526316;5.173684210526316e-05;;2582867;2583084;2982713;2984610;2582975;2583489;2583569;16164653;30538898;2583529
11;10;380000;380000;3741;0;2;0;0;0;2;0;0.009844736842105264;5.173684210526316e-05;;674731;674732;5568407;5570788;674731;674559;674676;18751504;29861536;674617
12;9;380000;380000;56610;0;2;10;2;0;2;8;0.1489736842105263;5.173684210526316e-05;;15793479;15793750;6245748;6248831;15793614;14701831;14701953;15156897;19429424;14701892
13;8;380000;380000;1590;0;2;0;-2;0;2;2;0.004184210526315789;5.173684210526316e-05;;287322;287323;22042108;22045621;287322;1382007;1507964;13646247;34134622;1444985
14;7;380000;380000;15505;0;2;2;0;0;2;2;0.04080263157894737;5.173684210526316e-05;;3887240;3887333;22332040;22336255;3887286;3887865;3888001;9755560;35519995;3887933
15;6;380000;380000;14062;0;2;2;0;0;2;2;0.037005263157894736;5.173684210526316e-05;;3753388;3753400;26221983;26226806;3753394;3628503;3754215;6124371;39411227;3691359
16;5;380000;380000;21057;0;2;4;1;0;2;3;0.055413157894736845;5.173684210526316e-05;;5982083;5982100;29977993;29983505;5982091;4888731;5983192;1232954;43168811;5435961
17;4;760000;760000;22791;0;1;2;1;0;1;1;0.02998815789473684;2.586842105263158e-05;;6419431;6419431;35962686;35962686;6419431;5200301;5200301;76387669;76387669;5200301
18;3;760000;760000;62567;0;1;5;0;0;1;5;0.082325;2.586842105263158e-05;;16866423;16866423;42385175;42385175;16866423;16884240;16884240;59500743;59500743;16884240
19;2;760000;760000;7098;0;1;0;-1;0;1;1;0.009339473684210526;2.586842105263158e-05;;1279351;1279351;59254659;59254659;1279351;2374101;2374101;57123508;57123508;2374101
20;1;760000;760000;79544;0;1;7;1;0;1;6;0.10466315789473685;2.586842105263158e-05;;56986485;56986485;60537068;60537068;56986485;21147724;21147724;35972650;35972650;21147724
;;760000;;;;;34;;;;34;0.8877815789473684;0.008019210526315792;0.8958007894736842
;;;;;;;0.0;;;;;
