ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;20;26000;26000;851;0;32;0;0;0;32;0;0.03273076923076923;0.0007561538461538463;;154040;154075;7106;187243;154069;154086;154932;6225;637290;154303
2;19;26000;26000;1827;0;32;0;0;0;32;0;0.07026923076923076;0.0007561538461538463;;329947;330457;164059;344238;329978;329800;330742;6255;447206;330091
3;18;26000;26000;317;0;32;0;0;0;32;0;0.012192307692307692;0.0007561538461538463;;58060;58063;496930;677129;58060;57832;58814;6225;725292;58135
4;17;26000;26000;1186;0;32;0;0;0;32;0;0.04561538461538461;0.0007561538461538463;;214477;214479;557886;738090;214477;214385;215363;6243;562774;214643
5;16;52000;52000;3785;0;16;0;0;0;16;0;0.07278846153846154;0.00037807692307692314;;682652;682656;779619;792079;682652;682479;682599;779888;2175597;682535
6;15;52000;52000;4089;0;16;0;0;0;16;0;0.07863461538461539;0.00037807692307692314;;737374;737379;1465337;1477800;737374;737318;737440;1426623;1465885;737375
7;14;52000;52000;435;0;16;0;0;0;16;0;0.008365384615384615;0.00037807692307692314;;79160;79160;2205779;2218245;79160;79103;79103;1344405;2206345;79103
8;13;52000;52000;3079;0;16;0;0;0;16;0;0.05921153846153846;0.00037807692307692314;;555459;555463;2288005;2300473;555459;555402;555407;785886;2288569;555402
9;12;104000;104000;5678;0;8;0;0;0;8;0;0.05459615384615384;0.00018903846153846157;;1023617;1023620;2852029;2859022;1023617;1023560;1023565;2852756;6263739;1023561
10;11;104000;104000;4034;0;8;0;0;0;8;0;0.038788461538461536;0.00018903846153846157;;727463;727467;3878958;3885953;727464;727410;727411;3879677;5532982;727410
11;10;104000;104000;10181;0;8;8;0;0;8;8;0.09789423076923078;0.00018903846153846157;;2609732;2609892;4609729;4616712;2609771;2609459;2609626;2911882;4610695;2609555
12;9;104000;104000;304;0;8;0;0;0;8;0;0.002923076923076923;0.00018903846153846157;;55581;55581;7222764;7229777;55581;55524;55660;2852880;7223678;55589
13;8;416000;416000;11283;0;2;0;-1;0;2;1;0.027122596153846153;4.725961538461539e-05;;2033104;2033107;7282616;7288654;2033105;2033047;2808062;14856615;31402516;2420554
14;7;416000;416000;8261;0;2;2;1;0;2;1;0.019858173076923075;4.725961538461539e-05;;4335212;4335374;9318557;9325292;4335293;1488746;2263787;12589918;34214171;1876266
15;6;416000;416000;2144;0;2;2;1;0;2;1;0.005153846153846154;4.725961538461539e-05;;1162153;1162235;13656765;13664039;1162194;386988;3233860;9353148;35706508;1810424
16;5;416000;416000;11469;0;2;0;-1;0;2;1;0.02756971153846154;4.725961538461539e-05;;2066597;2066597;14821837;14829730;2066597;2066536;9348643;7283702;36097087;5707589
17;4;832000;832000;3029;0;1;0;-1;0;1;1;0.003640625;2.3629807692307696e-05;;546453;546453;16891268;16891268;546453;3393028;3393028;102886578;102886578;3393028
18;3;832000;832000;23510;0;1;2;1;0;1;1;0.02825721153846154;2.3629807692307696e-05;;14363527;14363527;17440779;17440779;14363527;11517368;11517368;91366300;91366300;11517368
19;2;832000;832000;34888;0;1;2;-1;0;1;3;0.04193269230769231;2.3629807692307696e-05;;14341425;14341425;31807364;31807364;14341425;17196560;17196560;74166830;74166830;17196560
20;1;832000;832000;136351;0;1;10;1;0;1;9;0.16388341346153845;2.3629807692307696e-05;;74168247;74168247;46151847;46151847;74168247;57271124;57271124;16892572;16892572;57271124
;;832000;;;;;26;;;;26;0.8914278846153846;0.005576634615384619;0.8970045192307692
;;;;;;;0.0;;;;;
