ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;10;18000;18000;2731;0;56;0;0;0;56;0;0.15172222222222223;0.0010922222222222223;;492694;497425;4536;16658;494006;492604;498797;3640;86264;494878
2;9;19000;19000;1408;0;53;2;2;0;53;0;0.07410526315789474;0.0010347368421052632;;254474;754738;4536;512161;274044;254389;260444;3640;510098;256027
3;8;33000;33000;1064;0;31;3;0;0;31;3;0.03224242424242424;0.0005957575757575758;;192514;458458;4536;768937;218017;192457;696929;3647;2716386;226384
4;7;40000;40000;2340;0;25;6;1;0;25;5;0.0585;0.0004915000000000001;;422319;1127258;4536;963725;507540;422260;1128239;3661;1050817;487757
5;6;41000;41000;16948;0;24;68;13;0;24;55;0.41336585365853656;0.00047951219512195123;;3814968;4752143;4536;1388375;4209821;3815007;4329579;3647;1386336;3963543
6;5;42000;42000;678;0;24;1;-1;0;24;2;0.016142857142857143;0.00046809523809523816;;122901;627287;321586;5205729;143997;122844;622945;321656;5203805;164598
7;4;46000;46000;213;0;22;1;0;0;22;1;0.004630434782608696;0.0004273913043478261;;39210;469191;4536;5331207;58777;39153;469100;3647;5329302;58907
8;3;55000;55000;379;0;18;1;1;0;18;0;0.006890909090909091;0.00035745454545454546;;69079;569216;4536;5372917;96926;69022;73263;3661;5371029;69478
9;2;68000;68000;2101;0;15;11;0;0;15;11;0.030897058823529413;0.00028911764705882354;;379291;5075270;4560;5444685;1457493;379234;5838116;3667;5442816;1799425
10;1;78000;78000;8040;1;13;34;5;0;13;29;0.10307692307692308;0.00025205128205128206;;2687554;8265287;4536;5826588;5884817;1953109;6914063;3661;5824736;4803257
;;1000000;;;;;127;;;;106;0.8915739461979052;0.005487838852214728;0.8970617850501199
;;;;;;;0.16535433070866143;;;;;
