ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;18;19000;19000;3706;0;53;0;0;0;53;0;0.19505263157894737;0.0010347368421052632;;668301;677884;4536;23674;671377;668211;679173;3640;397101;672333
2;17;20000;20000;3114;0;50;6;6;0;50;0;0.1557;0.0009830000000000001;;561745;1245756;4536;694784;644815;561655;570103;3647;691467;564461
3;16;24000;24000;616;0;42;1;1;0;42;0;0.025666666666666667;0.0008191666666666667;;111749;685018;4638;1258746;125536;111692;115938;3640;1257098;112486
4;15;28000;28000;2042;0;36;8;2;0;36;6;0.07292857142857143;0.0007021428571428571;;368683;1613324;4536;1372904;511509;368625;1614281;3647;1369593;495987
5;14;42000;42000;3522;0;24;8;1;0;24;7;0.08385714285714285;0.00046809523809523816;;635191;2003809;4560;1743918;869694;635132;2005247;3654;1740624;864864
6;13;45000;45000;874;0;23;1;0;0;23;1;0.019422222222222223;0.0004368888888888889;;158176;542736;4560;2381612;175671;158119;543311;3648;3716738;175916
7;12;55000;55000;2895;0;19;12;-1;0;19;13;0.052636363636363634;0.00035745454545454546;;522239;2432103;4536;2542365;1027645;522271;2432508;3648;2839404;985489
8;11;68000;68000;535;0;15;1;-1;0;15;2;0.00786764705882353;0.00028911764705882354;;97163;1341598;4560;3067191;180430;97106;1341641;3667;3063958;251290
9;10;72000;72000;3668;0;14;10;-2;0;14;12;0.050944444444444445;0.0002730555555555556;;661471;2982690;120526;3166908;1212650;661417;3103304;120343;3163692;1297319
10;9;73000;73000;2;0;14;0;0;0;14;0;2.7397260273972603e-05;0.0002693150684931507;;1232;1262;4543;5570566;1236;1175;1983;3666;5567533;1288
11;8;74000;74000;6601;0;14;29;4;0;14;25;0.0892027027027027;0.00026567567567567567;;1189875;4103357;20473;5574466;2780462;1189821;4103696;20563;5571450;2673655
12;7;81000;81000;5375;0;13;18;1;0;13;17;0.06635802469135803;0.00024271604938271607;;968967;5292145;4543;6767063;2663168;969711;5217766;3666;6764073;2241290
13;6;87000;87000;133;0;12;0;0;0;12;0;0.0015287356321839081;0.0002259770114942529;;24811;26261;4567;12060436;24932;24754;25562;3672;9747160;24821
14;5;88000;88000;1958;0;12;7;1;0;12;6;0.02225;0.00022340909090909093;;353465;2620602;4543;12089419;827287;353496;2248075;3666;9774768;841054
15;4;90000;90000;313;0;12;1;1;0;12;0;0.003477777777777778;0.00021844444444444445;;57196;1754399;240695;12550737;198671;57139;57275;240368;11756689;57181
16;3;93000;93000;501;0;11;1;-1;0;11;2;0.005387096774193549;0.00021139784946236562;;91043;5708160;4543;12610846;601733;90986;5607280;3666;11978582;871938
17;2;97000;97000;94;0;11;0;0;0;11;0;0.0009690721649484536;0.00020268041237113404;;17790;17820;4543;12704781;17794;17733;18541;3666;12072725;17878
18;1;100000;100000;3541;1;10;18;4;0;10;14;0.03541;0.0001966;;638724;11255146;570217;12725519;5227358;638669;7724400;570119;12093536;2337025
;;1000000;;;;;121;;;;105;0.8886864968966206;0.007419873843200669;0.8961063707398212
;;;;;;;0.1322314049586777;;;;;
