ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Work Jitter;FPS Max Work Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Work Jitter;EDF Min Work Jitter;EDF Max Work Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Work Jitter
1;20;10000;10000;2;0;11340;0;0;0;11340;0;0.0002;0.004019999999999999;;567;569;175571;199570;567;571;573;173502;199845;571
2;19;18900;18900;252;0;6000;0;0;0;6000;0;0.013333333333333334;0.002126984126984127;;45562;45568;13571;208682;45562;45570;45572;11511;208837;45570
3;18;22500;22500;2290;0;5040;480;0;0;5040;480;0.10177777777777777;0.0017866666666666669;;412644;471503;85571;262257;417274;412645;471065;83511;262465;417236
4;17;26250;26250;938;0;4320;198;18;0;4320;180;0.03573333333333333;0.0015314285714285714;;169037;183453;40571;682929;169039;169041;183156;38511;683245;169041
5;16;40000;40000;2058;0;2835;855;0;0;2835;855;0.05145;0.0010049999999999998;;370895;1038832;184741;860243;445192;370895;1040593;182704;860594;445059
6;15;42000;42000;1029;0;2700;255;0;0;2700;255;0.0245;0.0009571428571428571;;185561;617438;175571;1239357;214984;185561;617105;173511;1239738;214956
7;14;52500;52500;570;0;2160;15;-15;0;2160;30;0.010857142857142857;0.0007657142857142857;;102801;161814;263614;1433298;102801;102805;161393;261606;1433715;102971
8;13;56250;56250;283;0;2016;46;-9;0;2016;55;0.005031111111111111;0.0007146666666666666;;51138;233572;40575;1544412;51348;51142;233110;38515;1544936;51730
9;12;60000;60000;448;0;1890;46;1;0;1890;45;0.007466666666666667;0.00067;;80837;263380;184833;1603914;82606;80845;263792;182816;1669816;83157
10;11;63000;63000;7717;0;1800;3330;148;0;1800;3182;0.12249206349206349;0.0006380952380952382;;1403501;2602127;175575;1693350;1757353;1403066;2467879;173515;1694028;1729820
11;10;67500;67500;299;0;1680;164;-1;0;1680;165;0.00442962962962963;0.0005955555555555556;;54011;2117836;506975;3105508;65764;54015;683432;504956;3105845;63151
12;9;70875;70875;298;0;1600;80;6;0;1600;74;0.004204585537918871;0.0005671957671957671;;53841;1080545;40575;3165673;62761;53845;1080607;38515;3164931;62332
13;8;78750;78750;3465;0;1440;1122;14;0;1440;1108;0.044;0.0005104761904761905;;624258;1343486;218549;3228213;709325;624256;1279081;216531;3227565;707612
14;7;105000;105000;6115;0;1080;2240;0;0;1080;2240;0.058238095238095235;0.00038285714285714285;;1101615;2488886;465674;3933306;1626030;1101616;2487169;463739;3931906;1625052
15;6;112500;112500;908;0;1008;286;-5;0;1008;291;0.00807111111111111;0.0003573333333333333;;163627;2581437;567537;5671826;220573;163631;2580643;565665;5669892;221513
16;5;157500;157500;13544;0;720;2537;4;0;720;2533;0.08599365079365079;0.00025523809523809527;;2453053;4166458;1431290;5844374;3162157;2452621;4165159;1429633;5842449;3152100
17;4;168000;168000;6737;0;675;1355;6;0;675;1349;0.04010119047619048;0.00023928571428571429;;1213577;6526539;370148;9384372;2176030;1213578;4268055;368136;9379885;2120741
18;3;168750;168750;1301;0;672;256;-7;0;672;263;0.00770962962962963;0.00023822222222222222;;234513;6003039;100977;11122879;405103;234504;2578852;98987;11118599;388188
19;2;196875;196875;7718;0;576;1566;-3;0;576;1569;0.03920253968253968;0.0002041904761904762;;1390274;7482967;63075;11366431;2926572;1390275;6019867;61015;11362219;2825677
20;1;600000;600000;10402;0;189;604;-1;0;189;605;0.017336666666666667;6.7e-05;;1887210;12475354;655487;16178616;4430850;1886784;12470628;653741;16168987;4414550
;;113400000;;;;;15435;;;;15279;0.6821285273368606;0.01763305291005291;0.6997615802469135
;;;;;;;0.01010689990281827;;;;;
