ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Work Jitter;FPS Max Work Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Work Jitter;EDF Min Work Jitter;EDF Max Work Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Work Jitter
1;20;14000;14000;122;0;60;0;0;0;60;0;0.008714285714285714;0.002871428571428571;;22159;22159;179177;192630;22159;22161;22163;178097;605625;22161
2;19;14000;14000;74;0;60;0;0;0;60;0;0.005285714285714286;0.002871428571428571;;13517;13521;209293;222717;13517;13525;13525;208293;599034;13525
3;18;14000;14000;75;0;60;0;0;0;60;0;0.005357142857142857;0.002871428571428571;;13687;13687;230800;244203;13687;13695;13695;229887;577285;13695
4;17;14000;14000;822;0;60;0;0;0;60;0;0.05871428571428571;0.002871428571428571;;148298;148300;252458;265874;148298;148299;148302;251632;429805;148299
5;16;14000;14000;146;0;60;0;0;0;60;0;0.01042857142857143;0.002871428571428571;;26471;26471;408760;422163;26471;26479;26479;355335;586184;26479
6;15;14000;14000;938;0;60;0;0;0;60;0;0.067;0.002871428571428571;;169175;169176;443197;456600;169175;169041;169178;178097;449736;169107
7;14;70000;70000;10588;0;12;0;-6;0;12;6;0.15125714285714287;0.0005742857142857142;;1907355;1907359;625470;633748;1907355;1907357;2358420;626358;1314512;2132816
8;13;70000;70000;304;0;12;0;0;0;12;0;0.004342857142857143;0.0005742857142857142;;54912;54912;2541082;2549394;54912;54916;55055;1242049;2542687;54962
9;12;70000;70000;1763;0;12;12;6;0;12;6;0.025185714285714287;0.0005742857142857142;;767896;768063;2604253;2612557;767919;317670;768722;916018;2605962;543167
10;11;70000;70000;810;0;12;0;0;0;12;0;0.011571428571428571;0.0005742857142857142;;146140;146141;3380512;3388793;146140;146140;146142;761521;3383104;146141
11;10;70000;70000;701;0;12;0;0;0;12;0;0.010014285714285715;0.0005742857142857142;;126522;126523;3534912;3543207;126522;126522;126524;626661;3537626;126522
12;9;280000;280000;26673;0;3;6;0;0;3;6;0.09526071428571428;0.00014357142857142856;;5704897;5705090;3671425;3678002;5704964;5706386;8758442;3680824;21641621;7740761
13;8;280000;280000;6557;0;3;3;0;0;3;3;0.023417857142857143;0.00014357142857142856;;1630879;1631015;9384462;9391551;1630941;1631817;1632140;9395923;20000742;1631927
14;7;280000;280000;12256;0;3;3;0;0;3;3;0.04377142857142857;0.00014357142857142856;;5706736;5706796;11023429;11031048;5706773;2658684;5710371;6841752;17333359;3675917
15;6;280000;280000;12026;0;3;3;0;0;3;3;0.04295;0.00014357142857142856;;2616448;2616491;16738327;16746399;2616464;2617152;5668849;4216351;16755526;3634459
16;5;280000;280000;2959;0;3;0;0;0;3;0;0.010567857142857143;0.00014357142857142856;;533192;533194;19362727;19371472;533192;533192;533194;3675195;19381398;533193
17;4;840000;840000;65636;0;1;6;0;0;1;6;0.07813809523809524;4.7857142857142856e-05;;17571556;17571556;19903792;19903792;17571556;17587735;17587735;94318268;94318268;17587735
18;3;840000;840000;80918;0;1;9;0;0;1;9;0.09633095238095238;4.7857142857142856e-05;;44014743;44014743;37483560;37483560;44014743;44038185;44038185;50271758;50271758;44038185
19;2;840000;840000;70687;0;1;6;0;0;1;6;0.08415119047619048;4.7857142857142856e-05;;18481023;18481023;81506518;81506518;18481023;18488572;18488572;31774882;31774882;18488572
20;1;840000;840000;38844;0;1;4;0;0;1;4;0.04624285714285714;4.7857142857142856e-05;;31137203;31137203;99995758;99995758;31137203;11851736;11851736;19914841;19914841;11851736
;;840000;;;;;52;;;;52;0.878702380952381;0.0210092857142857;0.8997116666666667
;;;;;;;0.0;;;;;
