ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Work Jitter;FPS Max Work Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Work Jitter;EDF Min Work Jitter;EDF Max Work Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Work Jitter
1;20;23000;23000;2350;0;40;0;0;0;40;0;0.10217391304347827;0.0017478260869565217;;423456;423466;179918;192650;423456;423459;423579;179282;848056;423488
2;19;23000;23000;812;0;40;0;0;0;40;0;0.035304347826086956;0.0017478260869565217;;146497;146502;611355;623990;146497;146498;146500;610778;1113638;146498
3;18;23000;23000;17;0;40;0;0;0;40;0;0.0007391304347826087;0.0017478260869565217;;3249;3249;765830;777839;3249;3257;3257;670271;1102311;3257
4;17;23000;23000;85;0;40;0;0;0;40;0;0.0036956521739130435;0.0017478260869565217;;15489;15489;777067;788391;15489;15497;15497;646708;1078743;15497
5;16;23000;23000;586;0;40;0;0;0;40;0;0.025478260869565218;0.0017478260869565217;;105815;105817;800528;811183;105815;105682;105819;532957;1045223;105767
6;15;23000;23000;560;0;40;0;0;0;40;0;0.02434782608695652;0.0017478260869565217;;100999;100999;914323;924349;100999;101007;101143;423784;1159138;101066
7;14;23000;23000;1309;0;40;0;0;0;40;0;0.05691304347826087;0.0017478260869565217;;236068;236070;1023300;1032657;236068;235951;236072;179777;1025956;235981
8;13;115000;115000;1941;0;8;0;0;0;8;0;0.016878260869565218;0.0003495652173913043;;349832;349834;1269199;1276655;349832;349833;349834;1269509;1330749;349833
9;12;115000;115000;243;0;8;0;0;0;8;0;0.0021130434782608695;0.0003495652173913043;;43930;43930;1627366;1634817;43930;43938;43938;1277935;1628369;43938
10;11;230000;230000;4383;0;4;0;-3;0;4;3;0.019056521739130434;0.00017478260869565216;;789637;789637;1685103;1687056;789637;789638;1888388;1688539;11891790;1613594
11;10;230000;230000;10254;0;4;4;3;0;4;1;0.04458260869565217;0.00017478260869565216;;2944337;2944568;2482539;2485134;2944407;1847110;2945678;2486703;13788480;2121752
12;9;230000;230000;3230;0;4;0;0;0;4;0;0.014043478260869565;0.00017478260869565216;;581965;581968;5434942;5438015;581966;581966;582084;5440969;15644105;581995
13;8;230000;230000;8442;0;4;0;-3;0;4;3;0.036704347826086954;0.00017478260869565216;;1520714;1520716;6024687;6028446;1520714;1520833;2619521;2820318;16234739;2344617
14;7;230000;230000;6240;0;4;4;3;0;4;1;0.027130434782608695;0.00017478260869565216;;2221255;2221445;7553326;7557832;2221332;1124125;2222595;1688340;18862208;1398772
15;6;920000;920000;155462;0;1;9;0;0;1;9;0.16898043478260868;4.369565217391304e-05;;46805400;46805400;9782591;9782591;46805400;38720430;38720430;97363445;97363445;38720430
16;5;920000;920000;67327;0;1;4;0;0;1;4;0.07318152173913044;4.369565217391304e-05;;16926625;16926625;56596094;56596094;16926625;25044143;25044143;72311091;72311091;25044143
17;4;920000;920000;61668;0;1;4;0;0;1;4;0.0670304347826087;4.369565217391304e-05;;24014578;24014578;73530840;73530840;24014578;15913696;15913696;56389184;56389184;15913696
18;3;920000;920000;3453;0;1;0;0;0;1;0;0.0037532608695652176;4.369565217391304e-05;;622110;622110;97553665;97553665;622110;622239;622239;55758791;55758791;622239
19;2;920000;920000;22359;0;1;1;-1;0;1;2;0.02430326086956522;4.369565217391304e-05;;5123984;5123984;98183820;98183820;5123984;14748344;14748344;41002215;41002215;14748344
20;1;920000;920000;128270;0;1;8;1;0;1;7;0.13942391304347826;4.369565217391304e-05;;40810151;40810151;103316051;103316051;40810151;31205139;31205139;9788865;9788865;31205139
;;920000;;;;;34;;;;34;0.8858336956521737;0.014070000000000006;0.8999036956521738
;;;;;;;0.0;;;;;
