ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;20;26000;26000;904;0;4200;0;0;0;4200;0;0.03476923076923077;0.0007561538461538463;;163612;164639;4536;184673;163612;163622;164600;3647;183665;164333
2;19;39000;39000;501;0;2800;0;0;0;2800;0;0.012846153846153846;0.0005041025641025641;;91038;93825;4536;198175;91039;90948;93656;3647;198526;91043
3;18;52000;52000;920;0;2100;0;0;0;2100;0;0.01769230769230769;0.00037807692307692314;;166605;167650;171767;292113;166605;166549;167473;171558;292427;166549
4;17;65000;65000;666;0;1680;0;0;0;1680;0;0.010246153846153846;0.00030246153846153845;;120772;120878;4536;461674;120772;120819;121629;3647;461986;120819
5;16;91000;91000;5482;0;1200;0;0;0;1200;0;0.060241758241758245;0.00021604395604395604;;988224;988347;4536;585563;988224;988168;989111;3647;585873;988212
6;15;130000;130000;8268;0;840;40;0;0;840;40;0.0636;0.00015123076923076922;;1490059;1588510;296634;1576859;1494543;1490003;1588368;296318;1577167;1494484
7;14;156000;156000;6214;0;700;40;0;0;700;40;0.03983333333333333;0.00012602564102564103;;1120109;2115858;437437;3070163;1152090;1120052;2115710;437088;3070465;1152020
8;13;182000;182000;1835;0;600;0;0;0;600;0;0.010082417582417583;0.00010802197802197802;;331302;332990;1164160;4193453;331420;331245;332604;1163852;4193749;331362
9;12;195000;195000;15828;0;560;640;0;0;560;640;0.08116923076923077;0.00010082051282051283;;3022726;4522335;224184;4528108;3343630;3022577;4188599;223888;4528405;3295601
10;11;273000;273000;7262;0;400;200;0;0;400;200;0.0266007326007326;7.201465201465202e-05;;1308858;3270538;1091711;7652489;1584529;1308802;3270268;1091415;7652593;1584395
11;10;312000;312000;6876;0;350;190;0;0;350;190;0.022038461538461538;6.301282051282051e-05;;1239379;3984635;1562042;8964699;1540234;1239323;3126956;1561661;8964798;1492875
12;9;390000;390000;8803;0;280;150;2;0;280;148;0.02257179487179487;5.041025641025642e-05;;1586482;4331860;5083881;10548892;1767019;1586308;4331388;5083283;10548815;1766700
13;8;455000;455000;12088;0;240;240;1;0;240;239;0.02656703296703297;4.320879120879122e-05;;2306389;4984608;1121517;12267099;2902868;2178076;8689321;1121222;18607440;2907849
14;7;520000;520000;14823;0;210;240;-16;0;210;256;0.02850576923076923;3.7807692307692306e-05;;2670783;6581300;1961627;14714546;3359912;2670726;9082501;1961251;28928622;3683858
15;6;546000;546000;61869;0;200;1030;12;0;200;1018;0.11331318681318682;3.600732600732601e-05;;14636161;25042252;2908809;18384785;18717186;13141836;22239005;2908422;26923263;17247075
16;5;624000;624000;31759;0;175;395;-6;0;175;401;0.050895833333333335;3.150641025641026e-05;;5990492;28157370;2806135;34823079;9400934;5986659;16660503;2805747;39780436;9110522
17;4;728000;728000;85652;0;150;1020;1;0;150;1019;0.11765384615384615;2.7005494505494505e-05;;22023883;58872925;1670707;44235408;32419827;17760599;35087632;1670354;44233145;26553643
18;3;780000;780000;4344;0;140;35;1;0;140;34;0.005569230769230769;2.520512820512821e-05;;783274;14235481;7899475;69075580;1599228;783218;7646135;7898653;69071575;1356113
19;2;910000;910000;34467;0;120;305;-10;0;120;315;0.03787582417582418;2.160439560439561e-05;;6603058;33394713;5739054;69862770;12988845;6379718;45399586;5738453;74875340;13081392
20;1;975000;975000;110408;2;112;1014;11;0;112;1003;0.11323897435897436;2.0164102564102565e-05;;25506697;119125770;3251598;87882980;75589811;25505023;94402741;3251179;87877854;55766805
;;109200000;;;;;5539;;;;5543;0.8953112728937729;0.003070884798534799;0.8983821576923077
;;;;;;;-0.0007221520129987362;;;;;
