ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Work Jitter;FPS Max Work Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Work Jitter;EDF Min Work Jitter;EDF Max Work Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Work Jitter
1;20;15750;15750;1751;0;7200;0;0;0;7200;0;0.11117460317460318;0.0025523809523809527;;315508;322020;40552;194183;315508;315509;322219;38517;195617;315509
2;19;22500;22500;1478;0;5040;0;0;0;5040;0;0.0656888888888889;0.0017866666666666669;;266378;275130;85552;518268;266378;266379;276148;83511;519561;266380
3;18;26250;26250;1581;0;4320;0;0;0;4320;0;0.06022857142857143;0.0015314285714285714;;284908;294626;40547;792794;284909;284909;294693;38517;794174;284910
4;17;28350;28350;271;0;4000;40;0;0;4000;40;0.009559082892416226;0.001417989417989418;;48979;334033;4552;1085906;51162;48983;333655;4872;1087372;51153
5;16;30240;30240;313;0;3750;40;10;0;3750;30;0.010350529100529101;0.0013293650793650795;;56525;337073;9952;1143026;58049;56531;336778;7917;1144585;58030
6;15;40000;40000;2730;0;2835;1385;-6;0;2835;1391;0.06825;0.0010049999999999998;;491847;1463445;175552;1207399;628071;491846;1463405;173508;1209421;628491
7;14;42000;42000;1037;0;2700;513;33;0;2700;480;0.02469047619047619;0.0009571428571428571;;186970;1108426;175552;1707619;234073;186969;857913;173509;1966617;221831
8;13;45360;45360;3356;0;2500;1591;37;0;2500;1554;0.07398589065255731;0.0008862433862433862;;604623;2217026;9956;1902936;849355;604622;2216729;7921;2384495;842336
9;12;47250;47250;516;0;2400;331;121;0;2400;210;0.010920634920634921;0.0008507936507936508;;93054;1779317;365018;2523120;153289;93051;902322;363013;2729689;114706
10;11;50400;50400;2042;0;2250;894;-122;0;2250;1016;0.04051587301587302;0.0007976190476190477;;368019;2196663;31556;2624825;505991;368002;1778744;29521;3557801;503505
11;10;52500;52500;3012;0;2160;1536;259;0;2160;1277;0.05737142857142857;0.0007657142857142857;;542707;2981989;379622;3332213;885340;542707;2346015;377635;3556576;762316
12;9;54000;54000;1902;0;2100;891;82;0;2100;809;0.035222222222222224;0.0007444444444444445;;342685;3614387;175556;3887228;559775;342672;2278366;173521;3885606;480419
13;8;56250;56250;449;0;2016;288;-18;0;2016;306;0.007982222222222222;0.0007146666666666666;;81007;2805903;40556;4514399;150595;81011;2308527;38521;4729077;141542
14;7;60000;60000;944;0;1890;500;20;0;1890;480;0.015733333333333332;0.00067;;170121;3051895;175556;4612141;287000;170125;1874206;173521;4581137;265529
15;6;60480;60480;919;0;1875;559;165;0;1875;394;0.01519510582010582;0.0006646825396825397;;165616;2901061;75726;4788959;298666;165620;1775105;73731;4759478;251902
16;5;64800;64800;6206;0;1750;3783;303;0;1750;3480;0.09577160493827161;0.0006203703703703703;;1118002;6678510;31556;5317959;2462231;1118004;4558118;29521;5293354;2135243
17;4;72000;72000;2930;0;1575;1574;32;0;1575;1542;0.04069444444444444;0.0005583333333333333;;527845;6663821;175556;6843466;1236168;527834;4145914;173521;6844093;1065570
18;3;81000;81000;5625;5;1400;3170;452;0;1400;2718;0.06944444444444445;0.0004962962962962963;;1013280;9697369;175556;8085900;3062735;1013283;5282783;173521;7890225;2245742
19;2;87500;87500;2658;6;1296;1584;157;0;1296;1427;0.030377142857142856;0.00045942857142857146;;478874;11336453;85556;19043158;1876386;478875;8619105;83521;9998943;1470228
20;1;100000;100000;3735;17;1134;1970;144;0;1134;1826;0.03735;0.000402;;672854;14569164;175556;26798808;3321044;672844;10162009;173512;11336614;2479894
;;113400000;;;;;20649;;;;18980;0.8805064991181659;0.01921056613756614;0.899717065255732
;;;;;;;0.08082715870017919;;;;;
