ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads
1;10;10000;10000;1123;0;100;0;0;0;100;0;0.1123;0.004019999999999999
2;9;13000;13000;0;0;77;0;0;0;77;0;0.0;0.003092307692307692
3;8;16000;16000;3228;0;63;25;5;0;63;20;0.20175;0.0025125
4;7;56000;56000;4861;0;18;18;0;0;18;18;0.08680357142857142;0.0007178571428571428
5;6;57000;57000;567;0;18;0;-2;0;18;2;0.009947368421052632;0.0007052631578947368
6;5;60000;60000;127;0;17;1;0;0;17;1;0.002116666666666667;0.00067
7;4;73000;73000;24095;0;14;101;9;0;14;92;0.3300684931506849;0.0005506849315068494
8;3;79000;79000;4636;0;13;13;-3;0;13;16;0.05868354430379747;0.0005088607594936708
9;2;88000;88000;3227;0;11;16;5;0;11;11;0.03667045454545455;0.0004568181818181818
10;1;100000;100000;4786;1;10;15;2;0;10;13;0.04786;0.000402
;;1000000;;;;;189;;;;173;0.8862000985162278;0.013636291865878274;0.899836390382106
;;;;;;;0.08465608465608465;;;;;
