Priority;Period;Deadline;ID;Work;Deadline Miss;Executions;Preemptions
0;10584;10584;0;106;0;90000;0
0;11340;11340;0;441;0;84000;0
0;12150;12150;0;250;0;78400;0
0;14112;14112;0;1154;0;67500;10200
0;21168;21168;0;656;0;45000;3900
0;26250;26250;0;1;0;36288;0
0;36288;36288;0;1603;0;26250;5696
0;39375;39375;0;5944;0;24192;47742
0;52500;52500;0;1034;0;18144;6369
0;77760;77760;0;2351;0;12250;9095
0;189000;189000;0;9710;0;5040;20525
0;217728;217728;0;6051;0;4375;11493
0;220500;220500;0;120;0;4320;103
0;226800;226800;0;269;0;4200;270
0;238140;238140;0;5693;0;4000;8372
0;252000;252000;0;2981;0;3780;4926
0;264600;264600;0;19151;0;3600;30738
0;282240;282240;0;8584;0;3375;12722
0;330750;330750;0;4515;0;2880;5277
0;352800;352800;0;3336;0;2700;3991
0;423360;423360;0;694;0;2250;748
0;441000;441000;0;20527;0;2160;20241
0;486000;486000;0;12108;0;1960;11082
0;490000;490000;0;28848;0;1944;27302
0;496125;496125;0;17297;0;1920;15985
0;504000;504000;0;12291;0;1890;11408
0;540000;540000;0;149;0;1764;115
0;567000;567000;0;3591;0;1680;2921
0;630000;630000;0;4999;0;1512;3611
0;661500;661500;0;62169;1441;1440;44891
hyperperiod;952560000
