Priority;Period;Deadline;ID;Work;Deadline Miss;Executions;Preemptions
0;11340;11340;0;471;0;84000;0
0;13230;13230;0;1080;0;72000;0
0;15120;15120;0;438;0;63000;0
0;21168;21168;0;1279;0;45000;3600
0;36288;36288;0;2949;0;26250;18600
0;42000;42000;0;5;0;22680;0
0;45000;45000;0;910;0;21168;5039
0;48000;48000;0;668;0;19845;690
0;52500;52500;0;145;0;18144;93
0;77760;77760;0;5886;0;12250;26015
0;190512;190512;0;4427;0;5000;7759
0;194400;194400;0;8490;0;4900;15527
0;211680;211680;0;12400;0;4500;21980
0;236250;236250;0;14128;0;4032;22372
0;238140;238140;0;1733;0;4000;2175
0;240000;240000;0;1258;0;3969;2082
0;264600;264600;0;981;0;3600;1033
0;280000;280000;0;23992;0;3402;33781
0;330750;330750;0;5682;0;2880;6603
0;340200;340200;0;3060;0;2800;3256
0;420000;420000;0;15539;0;2268;14710
0;423360;423360;0;13004;0;2250;12727
0;441000;441000;0;1356;0;2160;1105
0;470400;470400;0;19286;0;2025;16597
0;472500;472500;0;8558;0;2016;7493
0;508032;508032;0;13688;1876;1875;10824
0;595350;595350;0;1379;1601;1600;921
0;630000;630000;0;5477;1513;1512;3611
0;635040;635040;0;795;1501;1500;499
0;648000;648000;0;53392;1471;1470;35010
hyperperiod;952560000
