Priority;Period;Deadline;ID;Work;Deadline Miss;Executions;Preemptions
0;10584;10584;0;174;0;90000;0
0;13230;13230;0;103;0;72000;0
0;14112;14112;0;476;0;67500;0
0;17280;17280;0;221;0;55125;0
0;18375;18375;0;138;0;51840;0
0;22680;22680;0;161;0;42000;0
0;26250;26250;0;13;0;36288;0
0;36288;36288;0;2861;0;26250;22600
0;42000;42000;0;3696;0;22680;28381
0;52500;52500;0;95;0;18144;102
0;220500;220500;0;3315;0;4320;4878
0;226800;226800;0;24942;0;4200;42760
0;238140;238140;0;2102;0;4000;2305
0;240000;240000;0;6164;0;3969;10052
0;252000;252000;0;7082;0;3780;11742
0;254016;254016;0;10987;0;3750;17829
0;272160;272160;0;35649;0;3500;54977
0;294000;294000;0;4734;0;3240;6035
0;303750;303750;0;20059;0;3136;28023
0;317520;317520;0;9573;0;3000;12510
0;441000;441000;0;19782;0;2160;19279
0;472500;472500;0;10460;0;2016;9373
0;496125;496125;0;36671;1921;1920;32826
0;508032;508032;0;154;1876;1875;116
0;544320;544320;0;730;1751;1750;600
0;567000;567000;0;22636;1681;1680;17859
0;588000;588000;0;7296;1621;1620;5577
0;604800;604800;0;10203;1576;1575;7657
0;630000;630000;0;9179;1513;1512;6386
0;680400;680400;0;9956;1401;1400;6736
hyperperiod;952560000
