Priority;Period;Deadline;ID;Work;Deadline Miss;Executions;Preemptions
0;11340;11340;0;583;0;84000;0
0;16000;16000;0;592;0;59535;0
0;17280;17280;0;103;0;55125;0
0;26250;26250;0;500;0;36288;672
0;31500;31500;0;1108;0;30240;3990
0;39375;39375;0;2008;0;24192;9885
0;45000;45000;0;440;0;21168;779
0;52500;52500;0;854;0;18144;3380
0;61250;61250;0;259;0;15552;171
0;70875;70875;0;3601;0;13440;12477
0;189000;189000;0;4297;0;5040;6830
0;201600;201600;0;1028;0;4725;505
0;202500;202500;0;10082;0;4704;15914
0;211680;211680;0;5631;0;4500;8124
0;217728;217728;0;8027;0;4375;12588
0;254016;254016;0;3865;0;3750;5299
0;282240;282240;0;5203;0;3375;6200
0;294000;294000;0;3395;0;3240;3331
0;317520;317520;0;3332;0;3000;3428
0;330750;330750;0;7966;0;2880;8209
0;423360;423360;0;14611;0;2250;13054
0;425250;425250;0;17434;0;2240;14895
0;441000;441000;0;94860;0;2160;81690
0;476280;476280;0;14147;0;2000;10884
0;504000;504000;0;3561;0;1890;2446
0;508032;508032;0;22192;0;1875;16769
0;551250;551250;0;29134;1729;1728;20242
0;560000;560000;0;9237;1702;1701;6450
0;588000;588000;0;13443;1621;1620;9099
0;595350;595350;0;4280;1601;1600;2845
hyperperiod;952560000
