Priority;Period;Deadline;ID;Work;Deadline Miss;Executions;Preemptions
0;14112;14112;0;1701;0;67500;0
0;15120;15120;0;315;0;63000;0
0;17280;17280;0;549;0;55125;0
0;21168;21168;0;258;0;45000;1350
0;24192;24192;0;2232;0;39375;9000
0;36288;36288;0;484;0;26250;9
0;39375;39375;0;882;0;24192;1838
0;42000;42000;0;1667;0;22680;8068
0;61250;61250;0;2373;0;15552;10638
0;70875;70875;0;2117;0;13440;8679
0;189000;189000;0;16709;0;5040;32009
0;211680;211680;0;875;0;4500;703
0;212625;212625;0;15314;0;4480;26799
0;226800;226800;0;11988;0;4200;18738
0;236250;236250;0;701;0;4032;1073
0;240000;240000;0;6707;0;3969;10632
0;272160;272160;0;4826;0;3500;6187
0;280000;280000;0;5339;0;3402;7075
0;282240;282240;0;1276;0;3375;1418
0;302400;302400;0;6007;0;3150;7207
0;425250;425250;0;8205;0;2240;7889
0;490000;490000;0;5398;0;1944;4513
0;504000;504000;0;3404;0;1890;2859
0;508032;508032;0;29309;0;1875;24697
0;551250;551250;0;13942;0;1728;10514
0;604800;604800;0;15236;0;1575;11050
0;607500;607500;0;38286;1569;1568;26907
0;630000;630000;0;10267;1513;1512;7110
0;661500;661500;0;460;1441;1440;285
0;680400;680400;0;10422;1401;1400;6944
hyperperiod;952560000
