Priority;Period;Deadline;ID;Work;Deadline Miss;Executions;Preemptions
0;11340;11340;0;1939;0;84000;0
0;17280;17280;0;53;0;55125;0
0;24192;24192;0;1574;0;39375;3675
0;26250;26250;0;267;0;36288;462
0;36288;36288;0;157;0;26250;147
0;39375;39375;0;790;0;24192;1832
0;45000;45000;0;1272;0;21168;3948
0;48000;48000;0;1635;0;19845;4359
0;59535;59535;0;1037;0;16000;3221
0;61250;61250;0;1395;0;15552;4311
0;189000;189000;0;3803;0;5040;5291
0;220500;220500;0;223;0;4320;105
0;226800;226800;0;1112;0;4200;1169
0;238140;238140;0;14677;0;4000;19253
0;254016;254016;0;3103;0;3750;3456
0;272160;272160;0;10157;0;3500;11478
0;280000;280000;0;4564;0;3402;4417
0;294000;294000;0;11619;0;3240;13291
0;302400;302400;0;20013;0;3150;23611
0;330750;330750;0;1343;0;2880;982
0;420000;420000;0;10181;0;2268;8365
0;425250;425250;0;37270;0;2240;31943
0;441000;441000;0;1873;0;2160;1513
0;453600;453600;0;2004;0;2100;1656
0;470400;470400;0;10992;0;2025;8351
0;504000;504000;0;16677;0;1890;11960
0;540000;540000;0;24037;0;1764;16659
0;588000;588000;0;19550;1621;1620;12706
0;604800;604800;0;2195;1576;1575;1344
0;607500;607500;0;45249;1569;1568;28581
hyperperiod;952560000
