Priority;Period;Deadline;ID;Work;Deadline Miss;Executions;Preemptions
0;10000;10000;0;2;0;95256;0
0;14112;14112;0;239;0;67500;0
0;15120;15120;0;1220;0;63000;10116
0;16000;16000;0;378;0;59535;90
0;17280;17280;0;213;0;55125;135
0;21168;21168;0;1555;0;45000;11296
0;39375;39375;0;556;0;24192;588
0;42000;42000;0;104;0;22680;81
0;52500;52500;0;478;0;18144;1287
0;61250;61250;0;3162;0;15552;17432
0;194400;194400;0;4397;0;4900;8357
0;211680;211680;0;11980;0;4500;23832
0;212625;212625;0;21006;0;4480;41538
0;217728;217728;0;3632;0;4375;6312
0;220500;220500;0;3972;0;4320;6780
0;226800;226800;0;4349;0;4200;7611
0;272160;272160;0;6897;0;3500;10530
0;282240;282240;0;1493;0;3375;1657
0;302400;302400;0;16402;0;3150;23685
0;340200;340200;0;10793;0;2800;14033
0;486000;486000;0;7998;0;1960;7320
0;490000;490000;0;3309;0;1944;2837
0;508032;508032;0;27529;0;1875;25008
0;529200;529200;0;15448;0;1800;13455
0;540000;540000;0;9644;0;1764;8174
0;551250;551250;0;17936;0;1728;14861
0;567000;567000;0;20493;0;1680;16759
0;630000;630000;0;21007;1513;1512;15873
0;648000;648000;0;22403;1471;1470;16126
0;661500;661500;0;50146;1441;1440;36198
hyperperiod;952560000
