ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;12;13000;13000;922;0;77;0;0;0;77;0;0.07092307692307692;0.0015123076923076926;;166859;166959;4536;18415;166859;166869;167716;3640;16215;167668
2;11;19000;19000;1012;0;53;4;0;0;53;4;0.05326315789473684;0.0010347368421052632;;183159;358215;4536;188183;196565;183070;359137;3640;185801;197407
3;10;38000;38000;54;0;27;0;-1;0;27;1;0.0014210526315789475;0.0005173684210526316;;10582;16946;191528;373559;10926;10525;184708;191361;955294;17289
4;9;47000;47000;1591;0;22;3;0;0;22;3;0.03385106382978723;0.00041829787234042557;;287374;664255;4638;386417;321287;287317;483144;3665;2356736;313095
5;8;51000;51000;17985;0;20;58;4;0;20;54;0.3526470588235294;0.00038549019607843143;;3604920;4093568;4536;676122;3846119;3604687;3972433;3647;1662324;3762937
6;7;60000;60000;59;0;17;0;0;0;17;0;0.0009833333333333332;0.0003276666666666667;;11483;11513;4560;4283428;11496;11426;12370;3640;4280914;11794
7;6;62000;62000;5607;0;17;15;0;0;17;15;0.09043548387096774;0.0003170967741935484;;1010736;5286309;4536;4297355;1432250;1010679;5286736;3661;4294858;1393097
8;5;76000;76000;10436;0;13;26;-1;0;13;27;0.13731578947368422;0.0002586842105263158;;1884671;7534058;206256;5484938;3931845;2058954;7353447;205934;5482374;3891257
9;4;79000;79000;3710;0;13;10;1;0;13;9;0.0469620253164557;0.0002488607594936709;;669038;4489065;4560;7747431;1294677;668979;5853620;3667;7744755;1750521
10;3;84000;84000;1127;0;12;4;3;0;12;1;0.013416666666666667;0.00023404761904761908;;203853;4005165;4657;8419081;585694;203797;378040;3647;8416425;218772
11;2;94000;94000;3484;1;11;15;5;0;11;10;0.03706382978723404;0.00020914893617021279;;628355;9263552;296007;8920681;2767649;628300;5834427;295910;8627125;1240955
12;1;96000;96000;5089;1;11;17;5;0;11;12;0.053010416666666664;0.00020479166666666668;;917489;13351067;4543;23830956;4252169;917433;7073787;3666;9727533;2740831
;;1000000;;;;;152;;;;136;0.8912929552177177;0.005668497656649144;0.8969614528743668
;;;;;;;0.10526315789473684;;;;;
