ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;12;10000;10000;208;0;100;0;0;0;100;0;0.0208;0.0019660000000000003;;38304;38339;4536;18415;38333;38214;39196;3640;17001;39145
2;11;14000;14000;869;0;72;0;0;0;72;0;0.06207142857142857;0.0014042857142857143;;157322;162020;4536;59530;157444;157332;162316;3640;57932;158107
3;10;33000;33000;1349;0;31;5;-6;0;31;11;0.040878787878787876;0.0005957575757575758;;243819;408656;5278;219169;259163;243764;454322;4392;542992;276162
4;9;33000;33000;1789;0;31;10;6;0;31;4;0.05421212121212121;0.0005957575757575758;;323140;533768;252252;465263;355398;323083;529776;4392;417149;338983
5;8;47000;47000;26;0;22;0;0;0;22;0;0.0005531914893617022;0.00041829787234042557;;5545;5580;4560;790679;5564;5493;6437;3640;2719673;5954
6;7;49000;49000;1181;0;21;5;1;0;21;4;0.024102040816326532;0.0004012244897959184;;213577;841314;5278;798617;280140;213521;791765;4406;2368456;273589
7;6;49000;49000;2608;0;21;6;1;0;21;5;0.053224489795918366;0.0004012244897959184;;470547;1094489;222222;1014637;562493;470489;1098412;166389;2585402;565065
8;5;61000;61000;10965;0;17;49;2;0;17;47;0.17975409836065573;0.00032229508196721313;;2039550;3677811;4536;1487745;2700155;2040721;3678085;3647;1486228;2661477
9;4;64000;64000;10859;0;16;35;1;0;16;34;0.169671875;0.0003071875;;2002476;3648724;4657;3721920;2483754;2003242;3648267;3647;3720138;2482478
10;3;67000;67000;3034;0;15;11;-2;0;15;13;0.045283582089552236;0.0002934328358208955;;547353;2741094;4536;5891649;831227;547294;2740763;3661;5889703;796344
11;2;82000;82000;13818;0;12;56;10;0;12;46;0.16851219512195123;0.00023975609756097561;;2709955;9739669;4536;7020210;6141297;2709623;7556750;3666;7018206;4497276
12;1;94000;94000;6581;1;11;22;3;0;11;19;0.07001063829787234;0.00020914893617021279;;1231944;11024008;127761;10642721;4572172;1231794;5441934;128200;9775961;2284205
;;1000000;;;;;199;;;;183;0.8890744486339758;0.007154368169252426;0.8962288168032282
;;;;;;;0.08040201005025126;;;;;
