ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;20;10000;10000;131;0;11343;0;-9159;9420;11339;9159;0.0131;0.0019660000000000003;;24407;25627;3614;27486;24467;24311;33719;3640;6030648;24311
2;19;15750;15750;379;0;7202;0;-6131;6126;7199;6131;0.024063492063492065;0.0012482539682539683;;69074;70271;3868;169710;69074;68984;104824;3640;6993230;68984
3;18;18900;18900;2877;0;6002;1681;-3807;5464;6000;5488;0.15222222222222223;0.0010402116402116403;;519009;634057;22655;201090;530487;518886;558200;21647;7334228;519032
4;17;20000;20000;460;0;5672;0;-4775;4766;5670;4775;0.023;0.0009830000000000001;;83614;88075;32815;649429;83660;83570;160318;32722;7445105;83585
5;16;22500;22500;3908;0;5041;3211;-1535;4704;5040;4746;0.1736888888888889;0.0008737777777777778;;704668;1430961;4471;821434;844298;704576;1270682;3665;7186805;705519
6;15;26250;26250;62;0;4321;5;-3515;3517;4320;3520;0.002361904761904762;0.000748952380952381;;12020;131714;5401;1529288;12027;11932;46512;138648;7846210;11932
7;14;28350;28350;441;0;4001;528;-2646;3164;4000;3174;0.015555555555555555;0.0006934744268077602;;80248;930239;13659;1596288;100783;80153;164832;120677;8173975;80164
8;13;35000;35000;4369;0;3241;3383;338;2995;3240;3045;0.12482857142857143;0.0005617142857142857;;787706;2316261;4666;1542672;1190758;787669;2170869;3682;8896238;792210
9;12;50400;50400;942;0;2251;310;-1616;1922;2250;1926;0.01869047619047619;0.0003900793650793651;;170370;1693668;40666;2368141;238832;170321;251970;2354311;11968514;170485
10;11;54000;54000;429;0;2101;131;-1676;1804;2100;1807;0.007944444444444445;0.00036407407407407406;;78089;1705959;4649;2541986;100735;77994;607453;2527491;12534271;78030
11;10;56250;56250;4637;0;2016;3296;1483;1782;2016;1813;0.08243555555555555;0.00034951111111111114;;836008;3465932;48948;2712763;1373749;835914;3106590;2608265;12621644;840940
12;9;56700;56700;1406;0;2000;966;-516;1473;2000;1482;0.024797178130511462;0.0003467372134038801;;254070;3663686;630438;4917580;495537;253976;1073697;4901585;12762120;254800
13;8;60480;60480;3312;0;1875;2415;711;1683;1875;1704;0.05476190476190476;0.00032506613756613757;;597398;5748196;11868;5175054;1387061;597303;1511638;5158455;12840870;599671
14;7;64800;64800;4592;0;1750;3527;1924;1574;1750;1603;0.0708641975308642;0.0003033950617283951;;827909;7597094;40668;5972337;2327577;827823;2299121;5954958;13605613;832916
15;6;67500;67500;981;0;1680;783;-209;985;1680;992;0.014533333333333334;0.0002912592592592593;;177561;6964297;713367;9072878;507385;177458;823727;6790060;13969494;178680
16;5;70000;70000;1411;0;1620;1034;-34;1057;1620;1068;0.020157142857142856;0.00028085714285714286;;254971;7161837;825176;9432231;728025;254877;1610079;5974850;14564656;257684
17;4;72000;72000;3994;11;1575;3055;1653;1391;1575;1402;0.05547222222222222;0.0002730555555555556;;720272;10188084;4666;9706303;2893886;720178;844445;7452840;14758730;721663
18;3;84000;84000;5182;191;1350;3828;2698;1097;1350;1130;0.06169047619047619;0.00023404761904761908;;934158;19782614;4666;19958580;6646057;934138;2426479;8108036;17123887;940810
19;2;94500;94500;2933;889;1200;2325;1606;711;1200;719;0.031037037037037037;0.00020804232804232805;;528985;40376267;436;60231543;11787499;529003;1282352;11996033;18557194;531256
20;1;100000;100000;1096;569;569;419;-379;795;1134;798;0.01096;0.0001966;;198200;314949264;302301074;10383519791;35339076;198182;833397;12179408;20379718;199008
;;113425825;;;;;30897;;;;56482;0.9821646031746032;0.011678109347442683;0.9938427125220459
;;;;;;;-0.8280739230345988;;;;;
