ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads
1;18;18000;18000;2308;0;56;0;0;0;56;0;0.1282222222222222;0.0022333333333333333
2;17;18000;18000;497;0;56;0;0;0;56;0;0.02761111111111111;0.0022333333333333333
3;16;23000;23000;905;0;44;0;0;0;44;0;0.03934782608695652;0.0017478260869565217
4;15;23000;23000;2053;0;44;8;0;0;44;8;0.0892608695652174;0.0017478260869565217
5;14;25000;25000;227;0;40;0;0;0;40;0;0.00908;0.001608
6;13;31000;31000;743;0;33;0;-2;0;33;2;0.02396774193548387;0.001296774193548387
7;12;31000;31000;702;0;33;4;1;0;33;3;0.02264516129032258;0.001296774193548387
8;11;34000;34000;5851;0;30;28;6;0;30;22;0.17208823529411765;0.0011823529411764705
9;10;45000;45000;671;0;23;0;-1;0;23;1;0.014911111111111111;0.0008933333333333334
10;9;55000;55000;708;0;18;1;0;0;18;1;0.012872727272727274;0.0007309090909090909
11;8;59000;59000;1795;0;17;2;0;0;17;2;0.03042372881355932;0.0006813559322033898
12;7;71000;71000;119;0;14;0;-1;0;14;1;0.001676056338028169;0.0005661971830985916
13;6;72000;72000;1798;0;14;6;-1;0;14;7;0.024972222222222222;0.0005583333333333333
14;5;75000;75000;3932;0;14;11;-1;0;14;12;0.05242666666666667;0.000536
15;4;81000;81000;4117;0;13;13;-2;0;13;15;0.05082716049382716;0.0004962962962962963
16;3;88000;88000;6999;0;11;30;3;0;11;27;0.07953409090909092;0.0004568181818181818
17;2;93000;93000;8874;1;11;38;6;0;11;32;0.09541935483870968;0.000432258064516129
18;1;99000;99000;530;1;10;2;1;0;10;1;0.005353535353535353;0.0004060606060606061
;;1000000;;;;;143;;;;134;0.880639821524909;0.01910378219042191;0.8997436037153309
;;;;;;;0.06293706293706294;;;;;
