timeStamp;mode;totalTasks;short;mid;long;feasibilityEDF;maxLoadEDF;iterEDF;feasibilityFPS;iterFPS
2019-04-12_12:44:15.268667;i;63;22;21;20;false;1.0064241579784088;1513;false;556
numTask;DeadlineMiss;Executions
1;8;8
2;8;8
3;8;8
4;8;8
5;7;7
6;6;6
7;6;6
8;6;6
9;5;5
10;4;4
11;4;4
12;4;4
13;3;3
14;3;3
15;3;3
16;3;3
17;2;2
18;2;2
19;2;2
20;2;2
21;2;2
22;2;1
23;0;0
24;0;0
25;0;0
26;0;0
27;0;0
28;0;0
29;0;0
30;0;0
31;0;0
32;0;0
33;0;0
34;0;0
35;0;0
36;0;0
37;0;0
38;0;0
39;0;0
40;0;0
41;0;0
42;0;0
43;0;0
44;0;0
45;0;0
46;0;0
47;0;0
48;0;0
49;0;0
50;0;0
51;0;0
52;0;0
53;0;0
54;0;0
55;0;0
56;0;0
57;0;0
58;0;0
59;0;0
60;0;0
61;0;0
62;0;0
63;0;0
