ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads
1;10;22000;22000;435;0;46;0;0;0;46;0;0.01977272727272727;0.0018272727272727273
2;9;23000;23000;2603;0;44;4;4;0;44;0;0.11317391304347826;0.0017478260869565217
3;8;26000;26000;5166;0;39;16;9;0;39;7;0.1986923076923077;0.001546153846153846
4;7;44000;44000;2944;0;23;4;0;0;23;4;0.0669090909090909;0.0009136363636363636
5;6;73000;73000;888;0;14;1;0;0;14;1;0.012164383561643836;0.0005506849315068494
6;5;80000;80000;168;0;13;0;0;0;13;0;0.0021;0.0005024999999999999
7;4;94000;94000;1863;0;11;1;0;0;11;1;0.019819148936170213;0.00042765957446808513
8;3;98000;98000;1785;0;11;1;0;0;11;1;0.018214285714285714;0.00041020408163265306
9;2;99000;99000;2539;0;11;1;0;0;11;1;0.025646464646464646;0.0004060606060606061
10;1;100000;100000;6465;0;10;16;0;0;10;16;0.06465;0.000402
;;1000000;;;;;44;;;;31;0.5411423217761686;0.008733998217687652;0.5498763199938562
;;;;;;;0.29545454545454547;;;;;
