ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work
1;4;17000;17000;4447;-1;59;0;0;-1;59;0;0.2615882352941176
2;3;27000;27000;1520;-1;37;3;0;-1;37;3;0.056296296296296296
3;2;36000;36000;14002;-1;28;45;12;-1;28;33;0.3889444444444444
4;1;77000;77000;14683;13;13;39;9;-1;13;30;0.19068831168831168
;;1000000;;;;;87;;;;66;0.89751728772317
;;;;;;;0.2413793103448276;;;;;
