ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads
1;10;10000;10000;679;0;100;0;0;0;100;0;0.0679;0.004019999999999999
2;9;14000;14000;2212;0;72;14;0;0;72;14;0.158;0.002871428571428571
3;8;18000;18000;3395;0;56;23;4;0;56;19;0.18861111111111112;0.0022333333333333333
4;7;22000;22000;416;0;46;1;1;0;46;0;0.01890909090909091;0.0018272727272727273
5;6;24000;24000;3022;0;42;20;2;0;42;18;0.12591666666666668;0.0016749999999999998
6;5;36000;36000;703;0;28;10;0;0;28;10;0.01952777777777778;0.0011166666666666666
7;4;70000;70000;779;0;15;2;0;0;15;2;0.011128571428571429;0.0005742857142857142
8;3;77000;77000;3175;0;13;10;-2;0;13;12;0.041233766233766234;0.0005220779220779221
9;2;89000;89000;9222;0;11;40;1;0;11;39;0.10361797752808989;0.00045168539325842697
10;1;94000;94000;9331;0;11;36;1;0;11;35;0.09926595744680851;0.00042765957446808513
;;1000000;;;;;156;;;;149;0.8341109191018826;0.015719409902791446;0.849830329004674
;;;;;;;0.04487179487179487;;;;;
