ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads
1;12;23000;23000;516;0;44;0;0;0;44;0;0.022434782608695653;0.0017478260869565217
2;11;26000;26000;28;0;39;0;0;0;39;0;0.0010769230769230769;0.001546153846153846
3;10;27000;27000;444;0;38;0;0;0;38;0;0.016444444444444446;0.001488888888888889
4;9;31000;31000;1083;0;33;3;0;0;33;3;0.03493548387096774;0.001296774193548387
5;8;35000;35000;2606;0;29;6;0;0;29;6;0.07445714285714286;0.0011485714285714285
6;7;51000;51000;7774;0;20;31;0;0;20;31;0.15243137254901962;0.0007882352941176471
7;6;51000;51000;5070;0;20;19;2;0;20;17;0.09941176470588235;0.0007882352941176471
8;5;52000;52000;4738;0;20;14;2;0;20;12;0.09111538461538461;0.000773076923076923
9;4;87000;87000;12101;0;12;29;0;0;12;29;0.13909195402298852;0.00046206896551724135
10;3;90000;90000;15460;0;11;40;0;0;11;40;0.17177777777777778;0.0004466666666666667
11;2;98000;98000;6371;0;10;18;0;0;10;18;0.06501020408163265;0.00041020408163265306
12;1;100000;100000;2039;1;10;4;2;0;10;2;0.02039;0.000402
;;1000000;;;;;164;;;;158;0.8885772346108594;0.01129870166924785;0.8998759362801072
;;;;;;;0.036585365853658534;;;;;
