ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads
1;8;12000;12000;1691;0;84;0;0;0;84;0;0.14091666666666666;0.0033499999999999997
2;7;13000;13000;2255;0;77;12;12;0;77;0;0.17346153846153847;0.003092307692307692
3;6;38000;38000;6283;0;27;26;0;0;27;26;0.1653421052631579;0.0010578947368421053
4;5;44000;44000;1529;0;23;6;0;0;23;6;0.03475;0.0009136363636363636
5;4;59000;59000;652;0;17;1;0;0;17;1;0.01105084745762712;0.0006813559322033898
6;3;67000;67000;3432;0;15;10;-3;0;15;13;0.05122388059701492;0.0006000000000000001
7;2;72000;72000;5090;0;14;20;1;0;14;19;0.07069444444444445;0.0005583333333333333
8;1;99000;99000;23943;2;10;73;7;0;10;66;0.24184848484848484;0.0004060606060606061
;;1000000;;;;;148;;;;131;0.8892879677389344;0.010659588664383487;0.8999475564033178
;;;;;;;0.11486486486486487;;;;;
