ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;10;29000;29000;2463;0;35;0;0;0;35;0;0.08493103448275863;0.0006779310344827587;;444448;449320;4536;16658;445561;444358;450631;3640;14777;446405
2;9;44000;44000;2472;0;23;0;0;0;23;0;0.05618181818181818;0.00044681818181818185;;446096;450026;4536;463915;446613;446012;450940;3661;461852;447441
3;8;51000;51000;2240;0;20;1;0;0;20;1;0.04392156862745098;0.00038549019607843143;;404315;857847;4536;912313;427401;404257;858611;3640;1591107;428139
4;7;55000;55000;10729;0;18;13;3;0;18;10;0.1950727272727273;0.00035745454545454546;;1933310;3251426;4536;1318902;2256173;1933344;2801003;3647;1316848;2161289
5;6;60000;60000;927;0;17;0;0;0;17;0;0.01545;0.0003276666666666667;;167760;171768;4536;3259742;168034;167673;172026;3647;3259587;168449
6;5;67000;67000;3253;0;15;2;0;0;15;2;0.04855223880597015;0.0002934328358208955;;586774;3849443;4536;3424884;862126;586716;3850227;3647;3422869;862561
7;4;78000;78000;2025;0;13;4;0;0;13;4;0.025961538461538463;0.00025205128205128206;;365623;960041;4536;4014100;516027;365565;960669;3647;4012107;516387
8;3;82000;82000;8835;0;12;17;0;0;12;17;0.10774390243902439;0.00023975609756097561;;1592143;5612798;4536;4382223;3139947;1592174;5613384;3661;4380249;3140337
9;2;88000;88000;7039;0;12;9;-1;0;12;10;0.07998863636363636;0.00022340909090909093;;1268721;3804080;454636;6428840;1847641;1268667;4247931;454437;6426800;1962882
10;1;99000;99000;8612;0;10;20;3;0;10;17;0.08698989898989899;0.0001985858585858586;;1963972;7225372;4536;7700175;4137280;1963831;5584997;3661;7698153;3191264
;;1000000;;;;;66;;;;61;0.7447933636248234;0.0034025957894286865;0.7481959594142521
;;;;;;;0.07575757575757576;;;;;
