ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;10;12000;12000;290;0;84;0;0;0;84;0;0.024166666666666666;0.0016383333333333334;;53060;53095;4536;16658;53089;52970;53952;3647;14777;53880
2;9;16000;16000;983;0;63;0;0;0;63;0;0.0614375;0.00122875;;177941;182781;4536;72529;178608;177853;183785;3647;70464;179166
3;8;17000;17000;653;0;59;0;0;0;59;0;0.038411764705882354;0.0011564705882352942;;118396;118535;4536;252687;118426;118339;119283;3640;250611;119066
4;7;19000;19000;1220;0;53;10;1;0;53;9;0.06421052631578947;0.0010347368421052632;;220598;463684;4536;373491;245433;220541;464396;3647;371435;243742
5;6;27000;27000;327;0;38;0;0;0;38;0;0.01211111111111111;0.0007281481481481481;;59729;59864;4536;596419;59745;59672;60616;3647;594382;60191
6;5;36000;36000;830;0;28;4;1;0;28;3;0.023055555555555555;0.0005461111111111111;;150271;378426;61445;658536;175659;150214;380156;61263;885409;175652
7;4;43000;43000;915;0;24;1;0;0;24;1;0.02127906976744186;0.00045720930232558143;;165571;226029;4536;811383;168132;165514;225875;3647;809384;168640
8;3;44000;44000;9551;0;23;59;0;0;23;59;0.21706818181818183;0.00044681818181818185;;1781590;2538890;4536;979587;2199894;1781450;2535813;3647;977608;2156594
9;2;63000;63000;4669;0;16;27;-1;0;16;28;0.07411111111111111;0.00031206349206349207;;841775;3803455;4657;2763829;1475037;841717;3803792;3647;2761780;1480540
10;1;96000;96000;24221;0;10;90;3;0;10;87;0.2523020833333333;0.00020479166666666668;;7810741;11252957;243387;4147224;9038516;7809436;11097832;243089;4145205;8812503
;;1000000;;;;;191;;;;187;0.7881535703850733;0.007753432665807072;0.7959070030508804
;;;;;;;0.020942408376963352;;;;;
