ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;10;24000;24000;451;0;42;0;0;0;42;0;0.01879166666666667;0.0008191666666666667;;82045;82080;4536;16658;82074;81955;82937;3640;14777;82865
2;9;27000;27000;251;0;38;0;0;0;38;0;0.009296296296296296;0.0007281481481481481;;46039;46074;4536;101514;46061;45949;46931;3640;99449;46771
3;8;47000;47000;7178;0;22;13;0;0;22;13;0.15272340425531916;0.00041829787234042557;;1293775;1440850;4536;149772;1339034;1293810;1440882;3647;147692;1340007
4;7;52000;52000;209;0;20;0;0;0;20;0;0.004019230769230769;0.00037807692307692314;;38479;38509;4536;1445913;38494;38422;39366;3661;2298196;38774
5;6;56000;56000;3887;0;18;5;0;0;18;5;0.06941071428571428;0.00035107142857142856;;700924;2095613;4536;1486724;790608;700838;2096516;3661;1484680;793500
6;5;57000;57000;3049;0;18;5;-1;0;18;6;0.05349122807017544;0.00034491228070175444;;550053;1851389;4536;2190125;636269;549997;1994639;3647;3731528;714001
7;4;60000;60000;7412;0;17;10;2;0;17;8;0.12353333333333333;0.0003276666666666667;;1335856;3194716;4536;2742621;1637520;1335798;2776952;3647;3691463;1452419
8;3;69000;69000;20223;0;15;43;10;0;15;33;0.2930869565217391;0.00028492753623188407;;3786186;7878873;4536;4080978;5665410;3705007;6477835;3661;4078990;4739909
9;2;92000;92000;4040;0;11;9;3;0;11;6;0.04391304347826087;0.00021369565217391304;;728552;8620804;4536;7883610;1983264;728496;2176545;3661;7882894;1131925
10;1;99000;99000;2525;1;10;10;1;0;10;9;0.025505050505050506;0.0001985858585858586;;455623;10378049;4560;16493408;2094802;455566;8291969;3667;10047078;1669704
;;1000000;;;;;95;;;;80;0.7937709241817863;0.004064549033163669;0.79783547321495
;;;;;;;0.15789473684210525;;;;;
