ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;10;31000;31000;59;0;33;0;0;0;33;0;0.0019032258064516129;0.0006341935483870968;;11478;11513;4536;16658;11507;11388;12370;3640;15249;12322
2;9;42000;42000;143;0;24;0;0;0;24;0;0.003404761904761905;0.00046809523809523816;;26591;26626;4560;30947;26620;26501;27483;3640;1642111;27238
3;8;50000;50000;6946;0;20;7;0;0;20;7;0.13892;0.0003932;;1251889;1286723;4536;59757;1262737;1251921;1286825;3647;1796270;1262824
4;7;61000;61000;7555;0;17;14;4;0;17;10;0.12385245901639344;0.00032229508196721313;;1361596;2678117;5278;1314012;1604951;1361537;2678887;4392;3688565;1526962
5;6;61000;61000;13118;0;17;14;1;0;17;13;0.21504918032786885;0.00032229508196721313;;2363649;3683896;1370118;2686629;2609532;2363591;3680851;4406;2686550;2459904
6;5;67000;67000;5579;0;15;6;2;0;15;4;0.08326865671641791;0.0002934328358208955;;1005687;4802697;4536;5044037;1521401;1005629;4799608;3647;5040436;1350010
7;4;68000;68000;7820;0;15;10;-2;0;15;12;0.115;0.00028911764705882354;;1409324;6466518;4536;6071085;1925085;1409357;6467468;3647;6069447;1846019
8;3;72000;72000;9369;0;14;20;9;0;14;11;0.130125;0.0002730555555555556;;1688366;9227976;4536;7482997;3333660;1688308;6750803;3661;7481378;2677943
9;2;83000;83000;99;0;13;0;0;0;13;0;0.0011927710843373494;0.0002368674698795181;;18691;18721;4536;10467560;18692;18634;19442;3661;9180436;18813
10;1;92000;92000;7544;1;11;10;0;0;11;10;0.082;0.00021369565217391304;;1359620;11812101;4536;10488751;5099564;1359566;8104517;3661;9231961;3272418
;;1000000;;;;;81;;;;67;0.8947160548562311;0.003446248110905467;0.8981623029671365
;;;;;;;0.1728395061728395;;;;;
