ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;10;25000;25000;2885;0;40;0;0;0;40;0;0.1154;0.0007864;;520404;528937;4536;16658;521456;520315;530336;3640;15135;522280
2;9;40000;40000;3465;0;25;0;0;0;25;0;0.086625;0.0004915000000000001;;624968;629225;4536;539871;625623;624963;629811;3661;538167;626272
3;8;53000;53000;11897;0;19;14;0;0;19;14;0.22447169811320755;0.0003709433962264151;;2143668;3308446;5278;1167127;2597555;2143585;3309438;4392;1174168;2597941
4;7;53000;53000;31;0;19;0;0;0;19;0;0.0005849056603773585;0.0003709433962264151;;6451;6586;2152220;3316757;6468;6394;7338;4406;3316912;6800
5;6;57000;57000;11;0;18;0;0;0;18;0;0.00019298245614035088;0.00034491228070175444;;2847;4875;4536;3321886;2970;2790;5317;3661;3320221;3264
6;5;61000;61000;1099;0;17;2;-1;0;17;3;0.01801639344262295;0.00032229508196721313;;198822;831427;4536;3327121;267102;198765;831277;3640;3325473;298566
7;4;67000;67000;2835;0;15;3;0;0;15;3;0.0423134328358209;0.0002934328358208955;;511444;1154498;4536;3528385;569422;511477;1148151;3661;3526756;604513
8;3;68000;68000;5868;0;15;12;2;0;15;10;0.08629411764705883;0.00028911764705882354;;1057734;3861859;4560;4042416;1803153;1057767;3855740;3667;4040808;1767229
9;2;78000;78000;4149;0;13;7;0;0;13;7;0.05319230769230769;0.00025205128205128206;;748169;6387230;4536;5630589;1568826;748117;5658681;3661;5628916;1513510
10;1;85000;85000;5708;0;12;9;2;0;12;7;0.06715294117647058;0.00023129411764705881;;1028938;2911970;4536;6381372;1494185;1028852;2911707;3661;6379719;1407014
;;1000000;;;;;47;;;;44;0.6942437790240061;0.003752890037699858;0.697996669061706
;;;;;;;0.06382978723404255;;;;;
