ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;10;21000;21000;3870;0;48;0;0;0;48;0;0.18428571428571427;0.0009361904761904763;;697831;705829;4536;16658;699502;697743;707116;3661;14777;700312
2;9;31000;31000;31;0;33;0;0;0;33;0;0.001;0.0006341935483870968;;6451;6587;4536;717298;6479;6394;7338;3661;715237;7114
3;8;42000;42000;1716;0;24;1;0;0;24;1;0.040857142857142856;0.00046809523809523816;;309883;327820;706099;726095;311716;309826;327879;705918;724022;311715
4;7;52000;52000;2947;0;20;3;0;0;20;3;0.05667307692307692;0.00037807692307692314;;531606;1550707;4536;1038252;619319;531636;1551254;3661;1036198;619900
5;6;58000;58000;1395;0;18;3;0;0;18;3;0.024051724137931035;0.00033896551724137933;;252128;1509999;4536;1572278;352917;252042;1510717;3661;1570240;353216
6;5;74000;74000;3506;0;14;3;0;0;14;3;0.047378378378378376;0.00026567567567567567;;632319;2153285;4536;1826880;742564;632260;2154491;3661;1824864;743007
7;4;85000;85000;6291;0;12;6;0;0;12;6;0.07401176470588235;0.00023129411764705881;;1133965;1681291;4536;2461641;1271480;1133909;1681557;3661;2459642;1271744
8;3;88000;88000;1721;0;12;2;0;0;12;2;0.019556818181818182;0.00022340909090909093;;310783;1659564;4536;3598106;482048;310727;1660632;3661;3596127;482435
9;2;89000;89000;2384;0;12;5;0;0;12;5;0.026786516853932584;0.0002208988764044944;;430240;1463181;4536;4616781;621223;430185;1463632;3661;4614734;621447
10;1;96000;96000;1866;0;11;1;0;0;11;1;0.0194375;0.00020479166666666668;;336879;350894;4536;5049750;338204;336822;351523;3646;5047722;338491
;;1000000;;;;;24;;;;24;0.4940386363238766;0.0039015911302941;0.4979402274541707
;;;;;;;0.0;;;;;
