ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;10;14000;14000;1666;0;72;0;0;0;72;0;0.119;0.0014042857142857143;;300867;305580;4536;16658;301218;300778;306567;3640;14777;301994
2;9;18000;18000;2560;0;56;8;0;0;56;8;0.14222222222222222;0.0010922222222222223;;461940;774230;4536;320334;506683;461935;775088;3661;318272;507345
3;8;27000;27000;453;0;38;0;0;0;38;0;0.016777777777777777;0.0007281481481481481;;82407;86527;4536;784574;82775;82350;86707;3648;782557;83108
4;7;36000;36000;671;0;28;0;0;0;28;0;0.01863888888888889;0.0005461111111111111;;121643;125766;470176;869257;122009;121586;125935;469994;867202;121968
5;6;37000;37000;5123;0;27;20;0;0;27;20;0.13845945945945945;0.0005313513513513513;;923607;1702054;4536;993365;1174731;923555;1702684;3661;991329;1175147
6;5;39000;39000;280;0;26;0;0;0;26;0;0.0071794871794871795;0.0005041025641025641;;51263;55299;4536;1919358;51438;51206;55447;3647;1917347;51669
7;4;49000;49000;3438;0;21;13;0;0;21;13;0.07016326530612245;0.0004012244897959184;;620079;2387220;4536;1973065;1131437;620022;2388215;3661;1971071;1131598
8;3;56000;56000;96;0;18;0;0;0;18;0;0.0017142857142857142;0.00035107142857142856;;18147;18282;309192;2904075;18164;18090;18225;309009;2902010;18107
9;2;71000;71000;792;0;15;4;0;0;15;4;0.011154929577464789;0.0002769014084507042;;143450;1817764;4536;2924778;265027;143498;1817867;3661;2922730;265393
10;1;82000;82000;5360;0;13;12;0;0;13;12;0.06536585365853659;0.00023975609756097561;;966262;2227911;4536;3070942;1399361;966204;2228518;3661;3068915;1399373
;;1000000;;;;;57;;;;57;0.5906761697842451;0.006075174535600138;0.5967513443198452
;;;;;;;0.0;;;;;
