ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;10;38000;38000;1806;0;27;0;0;0;27;0;0.04752631578947369;0.0005173684210526316;;326078;330110;4536;16658;326545;325990;331195;3647;15591;327319
2;9;43000;43000;1475;0;24;1;0;0;24;1;0.03430232558139535;0.00045720930232558143;;266527;600012;4536;345545;280780;266521;600777;3640;344298;281557
3;8;64000;64000;4979;0;16;6;0;0;16;6;0.077796875;0.0003071875;;897686;1505030;4536;614372;1026226;897630;1505578;3661;613113;1026962
4;7;66000;66000;16421;0;15;14;0;0;15;14;0.2488030303030303;0.0002978787878787879;;2958544;3579032;4536;1514332;3228033;2958485;3579704;3661;1513093;3228835
5;6;77000;77000;3009;0;13;1;0;0;13;1;0.03907792207792208;0.00025532467532467533;;542847;816842;4536;4475206;564856;542790;816699;3661;4473984;565200
6;5;78000;78000;2057;0;13;1;-1;0;13;2;0.026371794871794873;0.00025205128205128206;;371369;1276623;4536;5020440;441122;371313;1277251;3661;5019236;462862
7;4;80000;80000;3132;0;13;1;0;0;13;1;0.03915;0.00024575000000000004;;564996;898516;5278;5394251;590979;564939;899280;4406;5462284;591051
8;3;80000;80000;365;0;13;0;0;0;13;0;0.0045625;0.00024575000000000004;;66563;66698;573597;5961862;66581;66506;67314;4412;5393068;66597
9;2;89000;89000;8087;0;12;10;1;0;12;9;0.09086516853932584;0.0002208988764044944;;1457474;2696538;4536;6030925;1922149;1457416;2697097;3661;6029801;1846101
10;1;95000;95000;3510;0;11;7;1;0;11;6;0.03694736842105263;0.00020694736842105264;;633148;6349716;4536;8098647;1947174;633092;5712224;3661;8097356;1831159
;;1000000;;;;;41;;;;40;0.6454033005839948;0.003006366213458505;0.6484096667974533
;;;;;;;0.024390243902439025;;;;;
