ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Work Jitter;FPS Max Work Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Work Jitter;EDF Min Work Jitter;EDF Max Work Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Work Jitter
1;20;20000;20000;1552;0;5670;0;0;0;5670;0;0.0776;0.0020099999999999996;;279689;287612;175571;198830;279689;279690;288281;173502;199845;279690
2;19;35000;35000;1118;0;3240;0;0;0;3240;0;0.03194285714285714;0.0011485714285714285;;201574;209288;175571;487093;201575;201575;209840;173511;487966;201577
3;18;45360;45360;3135;0;2500;530;0;0;2500;530;0.06911375661375661;0.0008862433862433862;;564860;1074609;9971;696646;627035;564862;1074343;7911;697602;626930
4;17;47250;47250;1026;0;2400;150;10;0;2400;140;0.021714285714285714;0.0008507936507936508;;185016;763079;40571;1269716;203431;185017;481799;38511;1270778;200973
5;16;50400;50400;514;0;2250;10;0;0;2250;10;0.010198412698412698;0.0007976190476190477;;92720;312281;31571;1462894;93145;92724;311668;29511;1464044;93142
6;15;54000;54000;2067;0;2100;404;-16;0;2100;420;0.03827777777777778;0.0007444444444444445;;372507;1248059;175571;1563827;447511;372488;1246988;173511;1570669;448671
7;14;56250;56250;4195;0;2016;1223;164;0;2016;1059;0.07457777777777778;0.0007146666666666666;;755779;2308749;40571;1944591;972598;755766;2147179;38512;1945879;933864
8;13;56700;56700;995;0;2000;195;58;0;2000;137;0.017548500881834215;0.000708994708994709;;179305;1842404;13575;2708825;222690;179305;688023;11515;2710180;198964
9;12;64800;64800;1664;0;1750;264;-6;0;1750;270;0.02567901234567901;0.0006203703703703703;;299833;1966610;31575;2896636;358684;299833;1938644;29515;2898077;356572
10;11;65625;65625;1026;0;1728;240;-3;0;1728;243;0.015634285714285715;0.0006125714285714285;;185011;1364430;18075;3204911;231468;184998;1364363;16015;3206440;232760
11;10;72000;72000;7432;0;1575;2330;335;0;1575;1995;0.10322222222222223;0.0005583333333333333;;1338792;4379324;175575;3385062;1993942;1338798;3591318;173506;3382394;1889376
12;9;75600;75600;1511;0;1500;305;24;0;1500;281;0.019986772486772487;0.0005317460317460317;;272293;3481105;31575;5044475;378181;272294;1930767;29515;5021424;346177
13;8;84375;84375;920;0;1344;202;-12;0;1344;214;0.010903703703703704;0.00047644444444444443;;165803;4558417;18075;5304747;246922;165807;3598248;16015;5301819;252799
14;7;90000;90000;3638;0;1260;847;9;0;1260;838;0.04042222222222222;0.0004466666666666667;;655398;4945396;175575;5478620;957673;655384;3396124;173515;5475784;955397
15;6;118125;118125;15818;0;960;3802;14;0;960;3788;0.1339089947089947;0.0003403174603174603;;2849336;9953092;18075;6142145;5937619;2849336;9947431;16015;6139383;5897470
16;5;126000;126000;8641;0;900;1996;123;0;900;1873;0.06857936507936507;0.0003190476190476191;;1556531;12580158;175575;12559033;3948655;1556513;7169930;173506;12054880;3003146
17;4;140000;140000;3452;0;810;730;48;0;810;682;0.024657142857142857;0.0002871428571428571;;621923;13432270;674629;17869508;1932748;621910;11819125;672732;14341406;1641026
18;3;157500;157500;3301;0;720;684;57;0;720;627;0.02095873015873016;0.00025523809523809527;;594738;9027132;85575;18894450;1668818;594728;6303260;83515;17674422;1323824
19;2;405000;405000;9722;0;280;905;-5;0;280;910;0.02400493827160494;9.925925925925925e-05;;1751232;20668424;175575;20121798;7245288;1751232;20658835;173515;20115897;7351577
20;1;675000;675000;39448;0;168;2143;18;0;168;2125;0.05844148148148148;5.9555555555555554e-05;;26925239;59286824;1116388;37009061;42209525;26916379;59067044;1114488;36996730;41377808
;;113400000;;;;;16960;;;;16142;0.8873722398589066;0.012468026455026454;0.899840266313933
;;;;;;;0.0482311320754717;;;;;
