ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;20;33750;33750;5064;0;3360;0;0;0;3360;0;0.15004444444444445;0.0005825185185185186;;912953;926637;5357;141330;914650;912889;928681;4385;140251;915653
2;19;35000;35000;442;0;3240;0;0;0;3240;0;0.012628571428571428;0.0005617142857142857;;80413;81473;4536;943316;80416;80323;81305;3640;945174;80433
3;18;45000;45000;845;0;2520;0;0;0;2520;0;0.01877777777777778;0.0004368888888888889;;152890;157079;4536;1026692;152956;152900;157256;3640;1028545;152900
4;17;45360;45360;53;0;2500;0;0;0;2500;0;0.0011684303350970018;0.0004334215167548501;;10412;13834;7259;1182850;10412;10355;13500;6249;1184701;10611
5;16;56700;56700;121;0;2000;0;0;0;2000;0;0.002134038800705467;0.0003467372134038801;;22652;26053;5363;1196387;22652;22595;25498;4397;1966525;22595
6;15;60480;60480;7432;0;1875;1215;200;0;1875;1015;0.12288359788359789;0.00032506613756613757;;1339458;2542341;8214;1221169;1596347;1339402;2517519;7333;1222134;1593270
7;14;64800;64800;452;0;1750;10;0;0;1750;10;0.006975308641975308;0.0003033950617283951;;82220;174994;6150;2667602;82249;82163;175430;5241;2667619;83000
8;13;72000;72000;1241;0;1575;102;-4;0;1575;106;0.017236111111111112;0.0002730555555555556;;224371;402936;4543;2649473;229148;224315;402682;3645;2650430;229671
9;12;87500;87500;282;0;1296;8;-2;0;1296;10;0.0032228571428571428;0.0002246857142857143;;51620;1465166;88689;2870502;55132;51563;1465058;88507;6240120;56519
10;11;94500;94500;5986;0;1200;767;3;0;1200;764;0.06334391534391534;0.00020804232804232805;;1079071;3737532;4543;2924867;1318863;1079014;3737179;3645;6347695;1317092
11;10;100000;100000;2623;0;1134;342;0;0;1134;342;0.02623;0.0001966;;473250;4189302;4543;4006606;666280;473192;4189765;3645;6930575;641178
12;9;105000;105000;2527;0;1080;265;13;0;1080;252;0.024066666666666667;0.00018723809523809524;;455978;4290880;88744;4482580;557609;455920;2914613;88561;7370965;545989
13;8;108000;108000;992;0;1050;95;-47;0;1050;142;0.009185185185185185;0.00018203703703703703;;179550;1581045;4543;4941455;212192;179492;2502625;3645;7271624;237766
14;7;118125;118125;9465;0;960;1540;110;0;960;1430;0.08012698412698413;0.00016643386243386245;;1705635;6611674;27043;5123850;2418976;1705578;4979239;26152;7989814;2345199
15;6;140000;140000;8208;0;810;1169;-82;0;810;1251;0.058628571428571426;0.00014042857142857143;;1479264;7416838;88858;7861997;2747759;1479208;8325623;88675;12100341;2814025
16;5;150000;150000;5518;0;756;716;-73;0;756;789;0.03678666666666667;0.0001310666666666667;;994701;9366400;4543;9521767;1881973;994645;8138949;3652;14287827;1903682
17;4;151200;151200;21172;0;750;3275;275;0;750;3000;0.14002645502645503;0.00013002645502645504;;3993243;15441043;40543;10550778;8984394;3904974;11064329;39652;10552450;6945090
18;3;157500;157500;1563;0;720;193;-4;0;720;197;0.009923809523809524;0.00012482539682539683;;282341;9710100;94543;20506754;633849;282285;3265058;93652;17215722;436825
19;2;162000;162000;14564;14;700;2450;384;0;700;2066;0.08990123456790124;0.00012135802469135803;;2624035;25051820;4543;20802552;9705066;2623978;10955631;3666;17494364;5438209
20;1;630000;630000;11922;0;180;528;1;0;180;527;0.018923809523809523;3.120634920634921e-05;;2148243;39072739;994388;47804056;11768367;2148185;39070406;994030;47807957;11767541
;;113400000;;;;;12675;;;;11901;0.8922144356261025;0.005106745679012346;0.8973211813051148
;;;;;;;0.06106508875739645;;;;;
