ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Work Jitter;FPS Max Work Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Work Jitter;EDF Min Work Jitter;EDF Max Work Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Work Jitter
1;20;12000;12000;577;0;84;0;0;0;84;0;0.04808333333333333;0.0033499999999999997;;104065;104065;175552;192631;104065;104067;104069;173517;190196;104067
2;19;18000;18000;295;0;56;0;0;0;56;0;0.01638888888888889;0.0022333333333333333;;53297;53443;175552;304570;53297;53305;53442;173517;302059;53305
3;18;21000;21000;313;0;48;0;0;0;48;0;0.014904761904761905;0.0019142857142857143;;56527;56533;176216;365321;56527;56535;61492;174241;417897;56747
4;17;21000;21000;263;0;48;0;0;0;48;0;0.012523809523809524;0.0019142857142857143;;47534;47676;241029;429232;47534;47538;47544;174722;362900;47540
5;16;29000;29000;3288;0;35;17;1;0;35;16;0.11337931034482758;0.001386206896551724;;592400;903187;175562;484128;659078;592402;902447;173536;1426071;655427
6;15;30000;30000;1134;0;34;1;1;0;34;0;0.0378;0.00134;;204441;331644;175562;1084124;208312;204429;208689;173536;1672104;204567
7;14;39000;39000;2899;0;26;5;-8;0;26;13;0.07433333333333333;0.0010307692307692307;;522272;1651649;177055;1296129;612855;522281;1650588;174722;1838935;698317
8;13;39000;39000;2981;0;26;23;8;0;26;15;0.07643589743589743;0.0010307692307692307;;537028;1454010;707759;1837285;764539;537016;1453083;174756;1834001;678720
9;12;46000;46000;1655;0;22;7;1;0;22;6;0.035978260869565216;0.0008739130434782608;;298230;2515708;175556;2487954;483423;298239;2514390;173521;4405252;477584
10;11;52000;52000;2083;0;20;6;0;0;20;6;0.04005769230769231;0.000773076923076923;;375399;1170340;175566;2794036;485737;375401;1169829;173540;3632362;483553
11;10;56000;56000;1132;0;18;4;-1;0;18;5;0.020214285714285716;0.0007178571428571428;;204091;2415415;175556;3177218;427518;204093;2414159;173521;3477149;433832
12;9;59000;59000;986;0;17;3;-1;0;17;4;0.016711864406779662;0.0006813559322033898;;177803;940899;176411;3389126;233491;177812;940342;174044;3941214;252864
13;8;61000;61000;1435;0;17;5;0;0;17;5;0.023524590163934427;0.000659016393442623;;258627;647609;175556;3641397;324552;258629;1594149;173521;3639078;476947
14;7;63000;63000;59;0;16;0;0;0;16;0;0.0009365079365079365;0.0006380952380952382;;10814;10814;298349;3907992;10814;10822;10958;296352;4219698;10828
15;6;66000;66000;4327;0;16;20;-1;0;16;21;0.06556060606060606;0.0006090909090909092;;779553;3652759;238016;3926784;1575747;779556;3032636;236033;3924640;1450941
16;5;72000;72000;1821;0;14;9;3;0;14;6;0.025291666666666667;0.0005583333333333333;;328104;1060292;351656;4957768;487878;328126;658779;349449;4954997;394916
17;4;81000;81000;1171;0;13;4;-1;0;13;5;0.01445679012345679;0.0004962962962962963;;211105;1034515;175566;5294125;386407;211114;1565436;173540;5291427;490373
18;3;82000;82000;5018;0;12;29;3;0;12;26;0.06119512195121951;0.0004902439024390243;;1226612;4897141;175556;6336854;2294918;1226789;4895288;173521;6333677;2207048
19;2;85000;85000;15080;1;12;67;7;0;12;60;0.17741176470588235;0.0004729411764705882;;5863599;10541175;175556;9066965;7809689;3167244;7659558;173521;8638230;6153569
20;1;87000;87000;247;1;12;1;0;0;12;1;0.002839080459770115;0.00046206896551724135;;44635;162031;3754262;28114033;54461;44669;161427;3209172;11813440;54441
;;1000000;;;;;201;;;;189;0.8780275661312188;0.02163193937629592;0.8996595055075147
;;;;;;;0.05970149253731343;;;;;
