ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;10;16000;16000;486;0;63;0;0;0;63;0;0.030375;0.0;;88333;89339;3882;16656;88368;88247;89229;3640;1266074;89092
2;9;22000;22000;1931;0;46;0;0;0;46;0;0.08777272727272727;0.0;;348601;352594;4638;107800;348774;348599;358021;3640;2354427;349968
3;8;28000;28000;3816;0;36;5;0;0;36;5;0.1362857142857143;0.0;;688138;1140719;4655;458703;724383;688174;1049196;3640;3277965;725890
4;7;39000;39000;4006;0;26;16;0;0;26;16;0.10271794871794872;0.0;;722429;1778106;4638;1149207;950284;722379;1782245;3647;4975248;934270
5;6;40000;40000;1914;0;25;4;1;0;25;3;0.04785;0.0;;345513;1397022;4638;1873966;416445;345577;798083;3640;3702737;379118
6;5;41000;41000;854;0;25;0;-2;0;25;2;0.020829268292682928;0.0;;154587;250247;4655;2221982;158765;154668;510711;145244;5867467;174276
7;4;73000;73000;9426;0;14;28;4;0;14;24;0.12912328767123288;0.0;;1702579;4094742;4655;2379145;2931815;1702947;3825967;2377168;9550794;2432164
8;3;74000;74000;7304;0;14;25;12;0;13;13;0.0987027027027027;0.0;;1412095;3348285;348286;4532186;2202632;1316370;2813167;4416306;10384936;1740666
9;2;79000;79000;807;0;13;4;2;0;13;2;0.010215189873417721;0.0;;146151;937334;4655;6642576;275552;146203;2027365;4587895;8616835;347695
10;1;81000;81000;26405;11;11;97;48;0;12;49;0.32598765432098764;0.0;;12021095;19762079;3240180;8425240;14630754;5233051;8231856;3103157;7715319;6551044
;;1000000;;;;;179;;;;114;0.9898594931374143;0.0;0.9898594931374143
;;;;;;;0.36312849162011174;;;;;
