ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;10;10000;10000;2841;0;100;0;-3;4;100;3;0.2841;0.0;;512498;521410;4638;16656;513988;512411;523180;3640;1614623;515738
2;9;13000;13000;2369;0;77;16;9;0;76;7;0.18223076923076922;0.0;;427563;952341;4655;531963;537196;427445;958231;3640;1824471;471509
3;8;20000;20000;361;0;50;4;4;0;50;0;0.01805;0.0;;65847;509826;520884;963576;101286;65756;71684;550001;3345876;66038
4;7;23000;23000;4546;0;44;39;22;0;43;17;0.1976521739130435;0.0;;819618;1849309;4657;1034780;1333208;819531;1787175;3674;3217695;1090166
5;6;25000;25000;570;0;40;5;3;1;40;2;0.0228;0.0;;103468;1520201;4655;2806640;214829;103377;625527;1397400;4464093;117052
6;5;27000;27000;3949;1;37;41;27;0;37;14;0.14625925925925926;0.0;;712074;3633248;4655;2912572;1754862;712111;1676746;1118139;4049469;942874
7;4;42000;42000;274;0;24;3;2;1;23;1;0.006523809523809524;0.0;;50190;1074787;4679;6823633;129186;50099;56609;4218912;7650215;50857
8;3;44000;44000;1920;1;23;24;20;1;22;4;0.04363636363636364;0.0;;346629;4735239;4679;6876288;1600382;346548;876077;3848420;7655330;421094
9;2;72000;72000;1916;1;14;24;18;0;13;6;0.02661111111111111;0.0;;345987;6872281;315405;12289811;2846938;345897;2132664;8262274;12035682;706686
10;1;76000;76000;4707;10;10;41;38;0;13;3;0.061934210526315786;0.0;;4994405;20268741;21041569;37001926;14231951;848669;1805246;10443688;12564115;1009268
;;1000000;;;;;197;;;;57;0.989797697200672;0.0;0.989797697200672
;;;;;;;0.7106598984771574;;;;;
