ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Work Jitter;FPS Max Work Jitter;FPS Min Release Jitter;FPS Max Release Jitter;EDF Min Work Jitter;EDF Max Work Jitter;EDF Min Release Jitter;EDF Max Release Jitter
1;20;15750;15750;602;0;7200;0;0;0;7200;0;0.03822222222222222;0.0025523809523809527;108555;108555;40523;196480;108551;108557;38484;199818
2;19;25200;25200;2800;0;4500;0;0;0;4500;0;0.1111111111111111;0.0015952380952380953;504448;513679;31523;312772;504447;513322;29498;316005
3;18;28350;28350;749;0;4000;100;0;0;4000;100;0.026419753086419754;0.001417989417989418;135024;258724;4523;824534;135020;258881;11498;827834
4;17;30240;30240;1594;0;3750;300;50;0;3750;250;0.05271164021164021;0.0013293650793650795;287257;439330;9940;966967;287256;412328;7908;970291
5;16;37800;37800;1342;0;3000;150;-1;0;3000;151;0.0355026455026455;0.0010634920634920635;241881;367469;31523;1261650;241883;366910;29498;1265021
6;15;42000;42000;1013;0;2700;300;7;0;2700;293;0.02411904761904762;0.0009571428571428571;182673;491692;175523;1510971;182670;490928;173498;1575929
7;14;45360;45360;398;0;2500;100;-4;0;2500;104;0.008774250440917107;0.0008862433862433862;71835;268607;10791;1701121;71801;588207;22792;2926657
8;13;47250;47250;3599;0;2400;1000;238;0;2400;762;0.07616931216931216;0.0008507936507936508;648365;1230710;157075;1780480;648366;1176037;155048;3257992
9;12;54000;54000;568;0;2100;0;-122;0;2100;122;0.010518518518518519;0.0007444444444444445;102435;107334;175528;2438385;102431;885770;173502;3465891
10;11;60000;60000;7915;0;1890;3780;292;0;1890;3488;0.13191666666666665;0.00067;1425738;3620346;175528;2546784;1425736;3618256;173502;3023449
11;10;70000;70000;4145;0;1620;1520;-103;0;1620;1623;0.05921428571428571;0.0005742857142857142;746796;4261585;175528;4109759;746779;2822937;173502;4808970
12;9;70875;70875;1987;0;1600;846;67;0;1600;779;0.028035273368606704;0.0005671957671957671;357984;3949948;18028;5528220;357977;3193302;16002;5529000
13;8;72000;72000;2968;0;1575;1422;130;0;1575;1292;0.04122222222222222;0.0005583333333333333;534674;6011133;175528;6315071;534672;2721475;173489;6314999
14;7;75000;75000;2229;0;1512;965;12;0;1512;953;0.02972;0.000536;401663;6792545;175528;7100607;401664;2839240;173502;6845463
15;6;78750;78750;475;0;1440;164;-3;0;1440;167;0.006031746031746032;0.0005104761904761905;85705;3539084;157172;7525766;85703;2542947;155114;7504905
16;5;84375;84375;403;0;1344;149;-36;0;1344;185;0.004776296296296297;0.00047644444444444443;72734;5016557;18028;7613516;72702;3920825;16002;8908188
17;4;90000;90000;6455;0;1260;2971;603;0;1260;2368;0.07172222222222223;0.0004466666666666667;1162817;8337178;175528;7702228;1162820;4117876;173502;7723880
18;3;90720;90720;6874;6;1250;3111;467;0;1250;2644;0.0757716049382716;0.0004431216931216931;1238230;11243822;401564;10708828;1238227;7588787;400580;9687737
19;2;94500;94500;931;16;1200;512;90;0;1200;422;0.009851851851851851;0.0004253968253968254;167776;10320881;859359;24590790;167779;4321665;857388;11466399
20;1;100000;100000;4099;39;1134;2054;446;0;1134;1608;0.04099;0.000402;738498;16227821;175528;25015836;738501;8475817;173488;12419526
;;113400000;;;;;19444;;;;17311;0.8828006701940034;0.01700701058201058;0.899807680776014
;;;;;;;0.10969965027772063;;;;;
