ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;10;13000;13000;672;0;77;0;0;0;77;0;0.05169230769230769;0.0015123076923076926;;121825;121860;4536;16658;121854;121735;122717;3640;14777;122650
2;9;24000;24000;4757;0;42;14;0;0;42;14;0.19820833333333332;0.0008191666666666667;;857645;991050;4536;141294;902254;857643;992044;3647;339389;902969
3;8;25000;25000;2804;0;40;6;2;0;40;4;0.11216;0.0007864;;505868;1372610;4536;1001243;563204;505899;641809;3647;999166;520773
4;7;32000;32000;1978;0;32;8;-1;0;32;9;0.0618125;0.000614375;;357157;874424;4536;1509475;414082;357101;1004250;3647;1508242;434610
5;6;36000;36000;777;0;28;5;0;0;28;5;0.021583333333333333;0.0005461111111111111;;140747;787472;4560;1868964;177746;140660;787525;3665;1957462;178050
6;5;41000;41000;553;0;25;2;0;0;25;2;0.01348780487804878;0.00047951219512195123;;100410;1107741;4536;2012201;140906;100353;1107396;3647;2010185;141356
7;4;44000;44000;9691;0;23;50;10;0;23;40;0.22025;0.00044681818181818185;;1746349;4000779;4536;2115055;2840373;1747064;3875734;3661;2113056;2706002
8;3;66000;66000;2777;0;16;12;1;0;16;11;0.04207575757575758;0.0002978787878787879;;500977;2372724;4679;3993264;1092130;500922;2372840;48117;3991198;1047799
9;2;88000;88000;4825;0;12;18;0;0;12;18;0.05482954545454546;0.00022340909090909093;;869977;3359117;2365606;6368542;1888755;869919;2747032;2365599;6366668;1688646
10;1;98000;98000;1451;0;11;5;0;0;11;5;0.014806122448979591;0.0002006122448979592;;262181;904778;4536;7626894;390786;262124;904536;3661;7624758;390901
;;1000000;;;;;120;;;;108;0.7909057047163057;0.005926590970711442;0.7968322956870172
;;;;;;;0.1;;;;;
