ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;10;24000;24000;337;0;42;0;0;0;42;0;0.014041666666666666;0.0008191666666666667;;61526;61561;4536;16658;61555;61436;62418;3647;412218;62194
2;9;25000;25000;631;0;40;0;0;0;40;0;0.02524;0.0007864;;114482;114586;4536;80995;114482;114395;115339;3647;649461;115145
3;8;28000;28000;6171;0;36;14;11;0;36;3;0.22039285714285714;0.0007021428571428571;;1112357;1307166;4536;197794;1153176;1112300;1235597;3647;195718;1126749
4;7;34000;34000;2698;0;30;7;0;0;30;7;0.07935294117647058;0.0005782352941176471;;486750;1675574;4536;1312425;581118;486693;1675984;3648;1310369;581554
5;6;37000;37000;898;0;28;0;0;0;28;0;0.02427027027027027;0.0005313513513513513;;162541;166549;4536;1800436;162750;162588;166694;3640;1799468;163205
6;5;40000;40000;674;0;25;1;0;0;25;1;0.01685;0.0004915000000000001;;122187;292254;4536;1966523;129046;122130;292111;3647;1964519;129252
7;4;61000;61000;361;0;17;0;0;0;17;0;0.0059180327868852455;0.00032229508196721313;;65849;65879;4536;2091287;65865;65792;66736;3647;2089302;66343
8;3;68000;68000;7508;0;15;23;1;0;15;22;0.11041176470588235;0.00028911764705882354;;1353145;2834318;495240;2159636;1829186;1353090;2833876;495057;2157668;1824415
9;2;79000;79000;2712;0;13;9;0;0;13;9;0.034329113924050636;0.0002488607594936709;;489281;4018213;4536;3515454;872714;489224;4018538;3661;3513506;872994
10;1;95000;95000;10608;0;11;32;0;0;11;32;0.11166315789473684;0.00020694736842105264;;1980611;7123046;4536;4007464;3562971;1981254;7122312;3661;4005534;3563034
;;1000000;;;;;86;;;;74;0.6424698045678198;0.004976017026219283;0.6474458215940391
;;;;;;;0.13953488372093023;;;;;
