ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;20;15750;15750;1802;0;7200;0;0;0;7200;0;0.11441269841269841;0.0012482539682539683;;325322;331934;4536;144744;325380;325258;333480;3640;143709;326098
2;19;26250;26250;994;0;4320;0;0;0;4320;0;0.037866666666666667;0.000748952380952381;;179911;185537;4536;473617;179915;179811;186750;3640;473088;180222
3;18;33750;33750;1533;0;3360;0;0;0;3360;0;0.045422222222222225;0.0005825185185185186;;276964;283109;6238;656558;276966;276879;283930;5229;848918;277683
4;17;39375;39375;833;0;2880;0;-3;0;2880;3;0.021155555555555556;0.0004993015873015873;;150828;157483;26441;941513;150828;150741;487635;26140;1370751;151450
5;16;45000;45000;807;0;2520;0;-24;0;2520;24;0.017933333333333332;0.0004368888888888889;;146153;151010;4063;973221;146153;146066;483153;3640;2804160;148860
6;15;45360;45360;166;0;2500;40;7;0;2500;33;0.0036596119929453263;0.0004334215167548501;;30744;317223;11736;1120403;33744;30687;364431;10847;2871981;34682
7;14;47250;47250;1975;0;2400;200;191;0;2400;9;0.0417989417989418;0.0004160846560846561;;356613;547982;333932;1154384;366352;356555;689447;334444;2627119;358408
8;13;50000;50000;914;0;2268;44;-78;0;2268;122;0.01828;0.0003932;;165374;498432;4042;1514288;169136;165327;896656;3645;3269888;177486
9;12;50400;50400;3336;0;2250;1466;319;0;2250;1147;0.06619047619047619;0.0003900793650793651;;601716;2127919;40543;1683153;815688;601659;1565468;39645;2922289;758671
10;11;54000;54000;416;0;2100;28;-62;0;2100;90;0.007703703703703704;0.00036407407407407406;;75743;263329;4543;2288836;77695;75686;749092;3645;3683237;85348
11;10;56250;56250;2163;0;2016;692;22;0;2016;670;0.03845333333333333;0.00034951111111111114;;390460;2323664;49134;2367611;518066;390402;1927589;48652;3045976;515609
12;9;60000;60000;1001;0;1890;192;-75;0;1890;267;0.016683333333333335;0.0003276666666666667;;181116;1111278;4543;2761588;214806;181118;1111004;3652;4885256;229870
13;8;60480;60480;2036;0;1875;793;-21;0;1875;814;0.03366402116402117;0.00032506613756613757;;367595;2446455;11743;3280679;525135;367537;2088197;10866;4773989;525557
14;7;67500;67500;9899;0;1680;4457;1224;0;1680;3233;0.14665185185185184;0.0002912592592592593;;1785253;5165820;375620;3651734;2952512;1783811;3838965;375418;3787977;2544880
15;6;70000;70000;2376;0;1620;1149;2;0;1620;1147;0.03394285714285714;0.00028085714285714286;;428795;5712530;4543;5639843;857617;428737;2942361;3666;5915721;692974
16;5;72000;72000;2548;0;1575;995;76;0;1575;919;0.035388888888888886;0.0002730555555555556;;459752;6351101;4543;6689656;777909;459694;2207573;3652;6680342;685307
17;4;75000;75000;4883;0;1512;2308;515;0;1512;1793;0.06510666666666666;0.0002621333333333334;;880293;7796345;4543;7152315;1913465;880237;3221997;3666;7143774;1370836
18;3;84000;84000;5891;3;1350;3014;462;0;1350;2552;0.07013095238095238;0.00023404761904761908;;1061856;9529207;4543;8392540;3088195;1061800;7498487;3666;8194879;2271294
19;2;87500;87500;6079;33;1296;2994;505;0;1296;2489;0.06947428571428571;0.0002246857142857143;;1095799;12330326;4543;21039932;4102702;1095742;7288350;3666;9795579;2399462
20;1;94500;94500;319;40;1200;192;17;0;1200;175;0.0033756613756613756;0.00020804232804232805;;58205;12499542;695009;35734853;334892;58227;4077768;694711;11070982;168843
;;113400000;;;;;18564;;;;15487;0.887295061728395;0.008289099823633158;0.8955841615520281
;;;;;;;0.16575091575091574;;;;;
