ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads
1;10;12000;12000;289;0;84;0;0;0;84;0;0.024083333333333335;0.0033499999999999997
2;9;32000;32000;2505;0;32;0;0;0;32;0;0.07828125;0.00125625
3;8;46000;46000;1701;0;22;1;1;0;22;0;0.03697826086956522;0.0008739130434782608
4;7;56000;56000;3333;0;18;4;-1;0;18;5;0.05951785714285714;0.0007178571428571428
5;6;67000;67000;1213;0;15;1;1;0;15;0;0.018104477611940298;0.0006000000000000001
6;5;70000;70000;7153;0;15;13;-3;0;14;16;0.10218571428571428;0.0005742857142857142
7;4;73000;73000;27588;0;14;64;10;0;14;54;0.3779178082191781;0.0005506849315068494
8;3;80000;80000;5905;0;12;15;3;0;13;12;0.0738125;0.0005024999999999999
9;2;89000;89000;1180;0;11;7;3;0;11;4;0.013258426966292135;0.00045168539325842697
10;1;98000;98000;5531;0;10;11;1;0;10;10;0.056438775510204084;0.00041020408163265306
;;1000000;;;;;116;;;;101;0.8405784039390845;0.009287380307019047;0.8498657842461035
;;;;;;;0.12931034482758622;;;;;
